temp_ch_ipcc,model_author,gcm,period_scenario,experiment,mass_percent_rel_2020
0.373094646035073,PyGEM-OGGM_v13,ukesm1-0-ll,1851-1870_hist,ukesm1-0-ll_1851-1870_hist,71.41831101564001
0.3826520320932922,GLIMB,mri-esm2-0,1951-1970_hist,mri-esm2-0_1951-1970_hist,78.98834096284887
0.3826520320932922,GloGEMflow,mri-esm2-0,1951-1970_hist,mri-esm2-0_1951-1970_hist,110.00696949771603
0.3826520320932922,OGGM_v16,mri-esm2-0,1951-1970_hist,mri-esm2-0_1951-1970_hist,90.49037906782729
0.3826520320932922,PyGEM-OGGM_v13,mri-esm2-0,1951-1970_hist,mri-esm2-0_1951-1970_hist,70.05622172731684
0.3922811293371855,GLIMB,gfdl-esm4,1951-1970_hist,gfdl-esm4_1951-1970_hist,77.23985222572139
0.3922811293371855,GloGEMflow,gfdl-esm4,1951-1970_hist,gfdl-esm4_1951-1970_hist,105.97655915941247
0.3922811293371855,OGGM_v16,gfdl-esm4,1951-1970_hist,gfdl-esm4_1951-1970_hist,103.19044820724184
0.3922811293371855,PyGEM-OGGM_v13,gfdl-esm4,1951-1970_hist,gfdl-esm4_1951-1970_hist,59.07941589775586
0.478288564324949,GLIMB,gfdl-esm4,1901-1920_hist,gfdl-esm4_1901-1920_hist,75.02602409209405
0.478288564324949,GloGEMflow,gfdl-esm4,1901-1920_hist,gfdl-esm4_1901-1920_hist,92.49603087955101
0.478288564324949,OGGM_v16,gfdl-esm4,1901-1920_hist,gfdl-esm4_1901-1920_hist,76.73904509550157
0.478288564324949,PyGEM-OGGM_v13,gfdl-esm4,1901-1920_hist,gfdl-esm4_1901-1920_hist,48.65717630867581
0.9014667339962784,GLIMB,gfdl-esm4,1995-2014_hist,gfdl-esm4_1995-2014_hist,67.66971276204507
0.9014667339962784,GloGEMflow,gfdl-esm4,1995-2014_hist,gfdl-esm4_1995-2014_hist,88.0936747355509
0.9014667339962784,OGGM_v16,gfdl-esm4,1995-2014_hist,gfdl-esm4_1995-2014_hist,67.01263871393006
0.9014667339962784,PyGEM-OGGM_v13,gfdl-esm4,1995-2014_hist,gfdl-esm4_1995-2014_hist,46.46695006017629
0.9049395549636868,GLIMB,mpi-esm1-2-hr,1995-2014_hist,mpi-esm1-2-hr_1995-2014_hist,67.10271466398565
0.9049395549636868,GloGEMflow,mpi-esm1-2-hr,1995-2014_hist,mpi-esm1-2-hr_1995-2014_hist,94.33142208806846
0.9049395549636868,OGGM_v16,mpi-esm1-2-hr,1995-2014_hist,mpi-esm1-2-hr_1995-2014_hist,68.61991546746745
0.9049395549636868,PyGEM-OGGM_v13,mpi-esm1-2-hr,1995-2014_hist,mpi-esm1-2-hr_1995-2014_hist,49.49687363710684
0.913313145803356,GLIMB,ipsl-cm6a-lr,1995-2014_hist,ipsl-cm6a-lr_1995-2014_hist,66.10207163906989
0.913313145803356,GloGEMflow,ipsl-cm6a-lr,1995-2014_hist,ipsl-cm6a-lr_1995-2014_hist,100.650440574623
0.913313145803356,OGGM_v16,ipsl-cm6a-lr,1995-2014_hist,ipsl-cm6a-lr_1995-2014_hist,64.5034919507877
0.913313145803356,PyGEM-OGGM_v13,ipsl-cm6a-lr,1995-2014_hist,ipsl-cm6a-lr_1995-2014_hist,50.03947476717403
0.9222489478058092,GLIMB,mri-esm2-0,1995-2014_hist,mri-esm2-0_1995-2014_hist,66.68240483028048
0.9222489478058092,GloGEMflow,mri-esm2-0,1995-2014_hist,mri-esm2-0_1995-2014_hist,86.85059998811228
0.9222489478058092,OGGM_v16,mri-esm2-0,1995-2014_hist,mri-esm2-0_1995-2014_hist,69.43783057430682
0.9222489478058092,PyGEM-OGGM_v13,mri-esm2-0,1995-2014_hist,mri-esm2-0_1995-2014_hist,52.63938867435107
1.0587674077643272,GLIMB,ukesm1-0-ll,1995-2014_hist,ukesm1-0-ll_1995-2014_hist,72.83575953810342
1.0587674077643272,GloGEMflow,ukesm1-0-ll,1995-2014_hist,ukesm1-0-ll_1995-2014_hist,86.90661812715217
1.0587674077643272,OGGM_v16,ukesm1-0-ll,1995-2014_hist,ukesm1-0-ll_1995-2014_hist,61.51430161479839
