temp_ch_ipcc,gcm,period_scenario,experiment,median_mass_percent_rel_2020_excluding_PyGEM_OGGM_v13
2.1761438977250376,ukesm1-0-ll,2021-2040_ssp126,ukesm1-0-ll_2021-2040_ssp126,43.39555112348197
2.189115489502097,gfdl-esm4,2041-2060_ssp585,gfdl-esm4_2041-2060_ssp585,39.36514457788738
2.191208340613269,ipsl-cm6a-lr,2061-2080_ssp126,ipsl-cm6a-lr_2061-2080_ssp126,34.753555908361164
2.3197325111266047,ukesm1-0-ll,2021-2040_ssp585,ukesm1-0-ll_2021-2040_ssp585,41.76897474442479
2.3233173057330725,ukesm1-0-ll,2021-2040_ssp370,ukesm1-0-ll_2021-2040_ssp370,42.90701452734824
2.404955505633247,mri-esm2-0,2041-2060_ssp370,mri-esm2-0_2041-2060_ssp370,30.029193015362083
2.5948271367994478,ipsl-cm6a-lr,2041-2060_ssp370,ipsl-cm6a-lr_2041-2060_ssp370,30.501581001520353
2.687006726396547,mri-esm2-0,2041-2060_ssp585,mri-esm2-0_2041-2060_ssp585,27.888263538554668
2.718961154542893,mpi-esm1-2-hr,2061-2080_ssp370,mpi-esm1-2-hr_2061-2080_ssp370,33.224549692859135
2.7398348752990143,ukesm1-0-ll,2041-2060_ssp126,ukesm1-0-ll_2041-2060_ssp126,31.78449254428283
2.8141615409733487,gfdl-esm4,2061-2080_ssp370,gfdl-esm4_2061-2080_ssp370,34.508918774647704
2.843937216517189,ipsl-cm6a-lr,2041-2060_ssp585,ipsl-cm6a-lr_2041-2060_ssp585,27.64387263320047
2.950346953824412,mpi-esm1-2-hr,2061-2080_ssp585,mpi-esm1-2-hr_2061-2080_ssp585,30.753047774068996
2.951472321285355,ukesm1-0-ll,2061-2080_ssp126,ukesm1-0-ll_2061-2080_ssp126,33.004945926003636
3.038482494458876,ukesm1-0-ll,2081-2100_ssp126,ukesm1-0-ll_2081-2100_ssp126,28.77752382888495
3.048039247761285,gfdl-esm4,2061-2080_ssp585,gfdl-esm4_2061-2080_ssp585,31.430545229676543
3.105613246951532,mri-esm2-0,2061-2080_ssp370,mri-esm2-0_2061-2080_ssp370,23.741571564322356
3.414119753355767,ukesm1-0-ll,2041-2060_ssp370,ukesm1-0-ll_2041-2060_ssp370,24.36451881949302
3.4545105505178424,mpi-esm1-2-hr,2081-2100_ssp370,mpi-esm1-2-hr_2081-2100_ssp370,29.071963022417616
3.5131147480935234,ipsl-cm6a-lr,2061-2080_ssp370,ipsl-cm6a-lr_2061-2080_ssp370,20.9553639155086
3.5323191142029637,gfdl-esm4,2081-2100_ssp370,gfdl-esm4_2081-2100_ssp370,30.145744898885642
3.541685753482952,mri-esm2-0,2061-2080_ssp585,mri-esm2-0_2061-2080_ssp585,22.171812397327674
3.646967337572662,ukesm1-0-ll,2041-2060_ssp585,ukesm1-0-ll_2041-2060_ssp585,23.666481870002283
3.811452139882864,mri-esm2-0,2081-2100_ssp370,mri-esm2-0_2081-2100_ssp370,20.408200976796703
3.9907986846486527,mpi-esm1-2-hr,2081-2100_ssp585,mpi-esm1-2-hr_2081-2100_ssp585,27.121257629733375
4.001455331400752,gfdl-esm4,2081-2100_ssp585,gfdl-esm4_2081-2100_ssp585,24.91282367197361
4.16009837781178,ipsl-cm6a-lr,2061-2080_ssp585,ipsl-cm6a-lr_2061-2080_ssp585,16.528552709333386
4.439976778002009,ukesm1-0-ll,2061-2080_ssp370,ukesm1-0-ll_2061-2080_ssp370,12.090478280435304
4.5943250252311145,mri-esm2-0,2081-2100_ssp585,mri-esm2-0_2081-2100_ssp585,16.415385463033704
4.677751174879019,ipsl-cm6a-lr,2081-2100_ssp370,ipsl-cm6a-lr_2081-2100_ssp370,15.356563364970702
5.23054329301376,ukesm1-0-ll,2061-2080_ssp585,ukesm1-0-ll_2061-2080_ssp585,10.433280861284965
5.840495049230714,ukesm1-0-ll,2081-2100_ssp370,ukesm1-0-ll_2081-2100_ssp370,6.68320241722346
5.849304978170279,ipsl-cm6a-lr,2081-2100_ssp585,ipsl-cm6a-lr_2081-2100_ssp585,9.696820504679678
6.884360785697311,ukesm1-0-ll,2081-2100_ssp585,ukesm1-0-ll_2081-2100_ssp585,5.22072770552049
