temp_ch_ipcc,gcm,period_scenario,experiment,median_mass_percent_rel_2020
2.1761438977250376,ukesm1-0-ll,2021-2040_ssp126,ukesm1-0-ll_2021-2040_ssp126,35.921910750198954
2.189115489502097,gfdl-esm4,2041-2060_ssp585,gfdl-esm4_2041-2060_ssp585,37.40683089678778
2.191208340613269,ipsl-cm6a-lr,2061-2080_ssp126,ipsl-cm6a-lr_2061-2080_ssp126,31.259450183885058
2.3197325111266047,ukesm1-0-ll,2021-2040_ssp585,ukesm1-0-ll_2021-2040_ssp585,34.04321645464264
2.3233173057330725,ukesm1-0-ll,2021-2040_ssp370,ukesm1-0-ll_2021-2040_ssp370,36.18698895401605
2.404955505633247,mri-esm2-0,2041-2060_ssp370,mri-esm2-0_2041-2060_ssp370,26.54218928527898
2.5948271367994478,ipsl-cm6a-lr,2041-2060_ssp370,ipsl-cm6a-lr_2041-2060_ssp370,25.700204979558638
2.687006726396547,mri-esm2-0,2041-2060_ssp585,mri-esm2-0_2041-2060_ssp585,25.40846247237281
2.718961154542893,mpi-esm1-2-hr,2061-2080_ssp370,mpi-esm1-2-hr_2061-2080_ssp370,32.59244286396508
2.7398348752990143,ukesm1-0-ll,2041-2060_ssp126,ukesm1-0-ll_2041-2060_ssp126,24.925952913835015
2.8141615409733487,gfdl-esm4,2061-2080_ssp370,gfdl-esm4_2061-2080_ssp370,31.969884812379867
2.843937216517189,ipsl-cm6a-lr,2041-2060_ssp585,ipsl-cm6a-lr_2041-2060_ssp585,22.709106703859533
2.950346953824412,mpi-esm1-2-hr,2061-2080_ssp585,mpi-esm1-2-hr_2061-2080_ssp585,30.607306218017946
2.951472321285355,ukesm1-0-ll,2061-2080_ssp126,ukesm1-0-ll_2061-2080_ssp126,25.39311685270609
3.038482494458876,ukesm1-0-ll,2081-2100_ssp126,ukesm1-0-ll_2081-2100_ssp126,22.840163902664713
3.048039247761285,gfdl-esm4,2061-2080_ssp585,gfdl-esm4_2061-2080_ssp585,27.77184008398303
3.105613246951532,mri-esm2-0,2061-2080_ssp370,mri-esm2-0_2061-2080_ssp370,20.031730818616584
3.414119753355767,ukesm1-0-ll,2041-2060_ssp370,ukesm1-0-ll_2041-2060_ssp370,18.9738406832676
3.4545105505178424,mpi-esm1-2-hr,2081-2100_ssp370,mpi-esm1-2-hr_2081-2100_ssp370,28.38189433534832
3.5131147480935234,ipsl-cm6a-lr,2061-2080_ssp370,ipsl-cm6a-lr_2061-2080_ssp370,15.82792375435194
3.5323191142029637,gfdl-esm4,2081-2100_ssp370,gfdl-esm4_2081-2100_ssp370,27.522657140017195
3.541685753482952,mri-esm2-0,2061-2080_ssp585,mri-esm2-0_2061-2080_ssp585,18.347130564543967
3.646967337572662,ukesm1-0-ll,2041-2060_ssp585,ukesm1-0-ll_2041-2060_ssp585,16.54478154859077
3.811452139882864,mri-esm2-0,2081-2100_ssp370,mri-esm2-0_2081-2100_ssp370,16.76703640873304
3.9907986846486527,mpi-esm1-2-hr,2081-2100_ssp585,mpi-esm1-2-hr_2081-2100_ssp585,25.80161958398558
4.001455331400752,gfdl-esm4,2081-2100_ssp585,gfdl-esm4_2081-2100_ssp585,21.67222618323354
4.16009837781178,ipsl-cm6a-lr,2061-2080_ssp585,ipsl-cm6a-lr_2061-2080_ssp585,12.19947444387843
4.439976778002009,ukesm1-0-ll,2061-2080_ssp370,ukesm1-0-ll_2061-2080_ssp370,8.864730811331505
4.5943250252311145,mri-esm2-0,2081-2100_ssp585,mri-esm2-0_2081-2100_ssp585,12.287536728312965
4.677751174879019,ipsl-cm6a-lr,2081-2100_ssp370,ipsl-cm6a-lr_2081-2100_ssp370,10.868380820080306
5.23054329301376,ukesm1-0-ll,2061-2080_ssp585,ukesm1-0-ll_2061-2080_ssp585,7.133442554677994
5.840495049230714,ukesm1-0-ll,2081-2100_ssp370,ukesm1-0-ll_2081-2100_ssp370,4.997421304495138
5.849304978170279,ipsl-cm6a-lr,2081-2100_ssp585,ipsl-cm6a-lr_2081-2100_ssp585,6.900080490558905
6.884360785697311,ukesm1-0-ll,2081-2100_ssp585,ukesm1-0-ll_2081-2100_ssp585,4.1625727563829305
