gcm,period_scenario,temp_ch_ipcc,mass_remaining
ipsl-cm6a-lr,1901-1920_hist,-0.1435287736460142,87.99424513836077
ipsl-cm6a-lr,1901-1920_hist,-0.1435287736460142,148.5771216162424
ipsl-cm6a-lr,1901-1920_hist,-0.1435287736460142,139.2865819288794
ipsl-cm6a-lr,1901-1920_hist,-0.1435287736460142,84.1945814620696
ipsl-cm6a-lr,1851-1870_hist,-0.1319133257011855,86.68089306289914
ipsl-cm6a-lr,1851-1870_hist,-0.1319133257011855,143.30530334809131
ipsl-cm6a-lr,1851-1870_hist,-0.1319133257011855,131.39265807401486
ipsl-cm6a-lr,1851-1870_hist,-0.1319133257011855,82.25451731840504
mpi-esm1-2-hr,1851-1870_hist,0.0833736138284337,90.13356623413408
mpi-esm1-2-hr,1851-1870_hist,0.0833736138284337,111.5334580552998
mpi-esm1-2-hr,1851-1870_hist,0.0833736138284337,119.81876482358996
mpi-esm1-2-hr,1851-1870_hist,0.0833736138284337,71.43577142683918
mpi-esm1-2-hr,1901-1920_hist,0.1016562514146834,88.6539909719752
mpi-esm1-2-hr,1901-1920_hist,0.1016562514146834,117.0575683314054
mpi-esm1-2-hr,1901-1920_hist,0.1016562514146834,133.3346503241081
mpi-esm1-2-hr,1901-1920_hist,0.1016562514146834,73.32362007758455
mri-esm2-0,1851-1870_hist,0.1909476951352631,86.13932554265239
mri-esm2-0,1851-1870_hist,0.1909476951352631,112.6098779422654
mri-esm2-0,1851-1870_hist,0.1909476951352631,111.91804755627444
mri-esm2-0,1851-1870_hist,0.1909476951352631,76.85560621362819
gfdl-esm4,1851-1870_hist,0.2314087884401598,82.05019660571266
gfdl-esm4,1851-1870_hist,0.2314087884401598,92.75103298872202
gfdl-esm4,1851-1870_hist,0.2314087884401598,105.50174982773716
gfdl-esm4,1851-1870_hist,0.2314087884401598,64.20231529126104
ukesm1-0-ll,1951-1970_hist,0.2374210262441569,92.30653404152064
ukesm1-0-ll,1951-1970_hist,0.2374210262441569,120.24804780802508
ukesm1-0-ll,1951-1970_hist,0.2374210262441569,93.50822365509649
ukesm1-0-ll,1951-1970_hist,0.2374210262441569,78.47009331071663
mri-esm2-0,1901-1920_hist,0.2524779717488781,82.86195004107431
mri-esm2-0,1901-1920_hist,0.2524779717488781,115.3168489205566
mri-esm2-0,1901-1920_hist,0.2524779717488781,110.85744554093682
mri-esm2-0,1901-1920_hist,0.2524779717488781,80.33300645005438
ipsl-cm6a-lr,1951-1970_hist,0.3028923844731737,75.24067860447822
ipsl-cm6a-lr,1951-1970_hist,0.3028923844731737,123.43168925799024
ipsl-cm6a-lr,1951-1970_hist,0.3028923844731737,99.2702688914758
ipsl-cm6a-lr,1951-1970_hist,0.3028923844731737,63.38618763999554
mpi-esm1-2-hr,1951-1970_hist,0.3530089022449858,82.70422037894315
mpi-esm1-2-hr,1951-1970_hist,0.3530089022449858,112.02594413712704
mpi-esm1-2-hr,1951-1970_hist,0.3530089022449858,110.62186303939424
mpi-esm1-2-hr,1951-1970_hist,0.3530089022449858,63.3285785534505
ukesm1-0-ll,1901-1920_hist,0.3535286605061203,86.71280519649407
ukesm1-0-ll,1901-1920_hist,0.3535286605061203,115.00484910353212
ukesm1-0-ll,1901-1920_hist,0.3535286605061203,95.720360583567
