,gcm,period_scenario,temp_ch_ipcc,AAR_steady_mean,AAR_steady_std,AAR_steady_median,AAR_steady_MAD,AAR_steady_area_weighted_mean,AAR_mean_mean,AAR_mean_std,AAR_mean_median,AAR_mean_MAD,AAR_mean_area_weighted_mean,disequilibrium_mean,disequilibrium_std,disequilibrium_median,disequilibrium_MAD,disequilibrium_area_weighted_mean
0,era5,2014-2023,1.2,0.5091459620182821,0.09229759240528577,0.5095505543964525,0.047850774627182346,0.5306765945878236,0.483723895106741,0.2663932771198575,0.49067763381963203,0.2046722204841288,0.38024488728500894,0.9503002172787163,0.5117083545817958,0.962961632729112,0.3616045335173994,0.7094287527619304
1,gfdl-esm4,1851-1870_hist,0.231409328,0.5221133012347524,0.09368173393447361,0.5123600790200549,0.04308997647738555,0.5269957009905775,0.6574589931197411,0.19644340283677802,0.6904236385588578,0.1296860433851531,0.552008830920796,1.2796818846939875,0.4061306465872591,1.3026613596687768,0.25682697812030764,1.0536681424950112
2,gfdl-esm4,1901-1920_hist,0.478289046,0.5221133012347524,0.09368173393447361,0.5123600790200549,0.04308997647738555,0.5269957009905775,0.6231011495800015,0.22092031768607875,0.6603839201406543,0.15572320234808568,0.512236131729369,1.2124593539235424,0.4541140949366876,1.23632139688425,0.29407939150741447,0.9787407967829904
3,gfdl-esm4,1951-1970_hist,0.392281326,0.5221133012347524,0.09368173393447361,0.5123600790200549,0.04308997647738555,0.5269957009905775,0.6592418058548886,0.1913894205756119,0.688242192628678,0.12961462292883785,0.5367888930094498,1.2842835495756404,0.3987821187476199,1.3136829209158025,0.24866141863272984,1.0263798634002492
4,gfdl-esm4,1995-2014_hist,0.901467077,0.5221133012347524,0.09368173393447361,0.5123600790200549,0.04308997647738555,0.5269957009905775,0.5575791803204406,0.2230306318779054,0.574028334894713,0.16970378907442324,0.40604215333391364,1.0754309005136051,0.42011902717553545,1.1203611647351712,0.3023573831220492,0.7660738735230195
5,gfdl-esm4,2021-2040_ssp126,1.493792069,0.5221133012347524,0.09368173393447361,0.5123600790200549,0.04308997647738555,0.5269957009905775,0.46589414567780435,0.25472232688167457,0.451128105600187,0.1863838224086326,0.32030337503056294,0.8972946452502779,0.4883929738964506,0.8804903505812147,0.3420386609468308,0.6061709284810737
6,gfdl-esm4,2041-2060_ssp126,1.678749959,0.5221133012347524,0.09368173393447361,0.5123600790200549,0.04308997647738555,0.5269957009905775,0.4500152036395821,0.2741148857196334,0.43639514077386005,0.2236456758872029,0.2758770035546941,0.8674692981161963,0.5317943712494423,0.8517352515217693,0.40918775301847476,0.5219504148842303
7,gfdl-esm4,2061-2080_ssp126,1.730055687,0.5221133012347524,0.09368173393447361,0.5123600790200549,0.04308997647738555,0.5269957009905775,0.38586044674518727,0.26828217062435533,0.361387262663966,0.20480452302887628,0.2773308120113187,0.7374447132990744,0.5063304217126634,0.7053384474355593,0.3762546471275845,0.5196045206202954
8,gfdl-esm4,2081-2100_ssp126,1.684476548,0.5221133012347524,0.09368173393447361,0.5123600790200549,0.04308997647738555,0.5269957009905775,0.34018118877393966,0.2715872375877773,0.2794640872568842,0.18782366740326667,0.22552039387507386,0.6451027684335074,0.5017032826426618,0.5454446954403436,0.35224410419175795,0.41989814360126393
9,gfdl-esm4,2021-2040_ssp370,1.488564228,0.5385104644783247,0.09412290346547493,0.5263878677840694,0.0400223816955233,0.5348307840070831,0.5052376569654373,0.238820479147432,0.508591028721821,0.17961459099765553,0.3607929057598167,0.9412182644320511,0.441874261266372,0.9661906359332186,0.3007602322004309,0.668104089609029
