area_class,n_glaciers,rgi_area_km2,experiment,gcm,period_scenario,temp_ch_ipcc,AAR_mean_mean,AAR_mean_std,AAR_mean_median,AAR_mean_MAD,AAR_mean_area_weighted_mean,AAR_steady_mean,AAR_steady_std,AAR_steady_median,AAR_steady_MAD,AAR_steady_area_weighted_mean,disequilibrium_mean,disequilibrium_std,disequilibrium_median,disequilibrium_MAD,disequilibrium_area_weighted_mean
>100 km2,962,387240.951,0,era5,2014-2023,1.2,0.45829041823490524,0.19210147718696352,0.481206665056726,0.12977412932687202,0.48763137866792866,0.6775546642456386,0.1287935201134747,0.7097959069380264,0.07710470403876091,0.6988081058613915,0.6645412147726185,0.23159509406359505,0.7114386238636818,0.1663354846424448,0.6940083455130185
>100 km2,962,387240.951,1,gfdl-esm4,1851-1870_hist,0.231409328,0.605180569584628,0.18407657275303116,0.621229689861915,0.11601361087513679,0.6443460556846865,0.6857068869218077,0.1229448067743581,0.7025277569217172,0.0720089099715101,0.7038578886566815,0.8751763859018633,0.20701576075606284,0.8887820165662722,0.13240767257434338,0.9099040531020702
>100 km2,962,387240.951,2,gfdl-esm4,1901-1920_hist,0.478289046,0.5498306384940814,0.18356490892094054,0.5125082980011708,0.1186393474577069,0.5603651525667579,0.6857068869218077,0.1229448067743581,0.7025277569217172,0.0720089099715101,0.7038578886566815,0.7902697312795165,0.2091564366538084,0.7468896457132989,0.12509394175668143,0.7848504692696584
>100 km2,962,387240.951,3,gfdl-esm4,1951-1970_hist,0.392281326,0.59176294710802,0.18909974862360002,0.6086145485999499,0.12727932092319022,0.6347785859774884,0.6857068869218077,0.1229448067743581,0.7025277569217172,0.0720089099715101,0.7038578886566815,0.8548783829583283,0.21209503482177086,0.8621213387654757,0.16882869510583898,0.8989858191847891
>100 km2,962,387240.951,4,gfdl-esm4,1995-2014_hist,0.901467077,0.5439555485835936,0.19986505455077405,0.5707511289183267,0.1367808545621449,0.5765687226340703,0.6857068869218077,0.1229448067743581,0.7025277569217172,0.0720089099715101,0.7038578886566815,0.7785566732091158,0.2340622109625146,0.8137700857692063,0.15764057684986638,0.8085981322402078
>100 km2,962,387240.951,5,gfdl-esm4,2021-2040_ssp126,1.493792069,0.42892991856784746,0.18465090691215386,0.3759671125607489,0.12069376386904204,0.44243318829089323,0.6857068869218077,0.1229448067743581,0.7025277569217172,0.0720089099715101,0.7038578886566815,0.6170839033189334,0.2235086985346968,0.5693531621354422,0.13471464573333047,0.6260949035900818
>100 km2,962,387240.951,6,gfdl-esm4,2041-2060_ssp126,1.678749959,0.4404651166069457,0.19690834404133487,0.4592217065192046,0.1376373352428993,0.4714847768145386,0.6857068869218077,0.1229448067743581,0.7025277569217172,0.0720089099715101,0.7038578886566815,0.6270146554271347,0.23952729395293113,0.651688691855941,0.16927075811909342,0.6598745063855059
>100 km2,962,387240.951,7,gfdl-esm4,2061-2080_ssp126,1.730055687,0.4197252950187825,0.19363772009153551,0.46632906677888875,0.1426162799043988,0.4634366678930898,0.6857068869218077,0.1229448067743581,0.7025277569217172,0.0720089099715101,0.7038578886566815,0.5979243145966462,0.2400864914723675,0.6513885530429668,0.15580823512145298,0.6480864113539575
>100 km2,962,387240.951,8,gfdl-esm4,2081-2100_ssp126,1.684476548,0.4150435197964583,0.19805930435192545,0.4499613704780068,0.1387040978947734,0.45812017676414335,0.6857068869218077,0.1229448067743581,0.7025277569217172,0.0720089099715101,0.7038578886566815,0.5888604323312093,0.25085248117549264,0.6208726719200025,0.16633150769859592,0.6373155742112664
>100 km2,962,387240.951,9,gfdl-esm4,2021-2040_ssp370,1.488564228,0.44816622169037645,0.18802648471140068,0.4595139357775192,0.13072544522006202,0.4756709401075663,0.6835879312568848,0.12911494600822807,0.6948657023838789,0.07239272025446658,0.6987715161297792,0.6423108938965951,0.22425693869149585,0.6611842263478703,0.15087238727094593,0.6719679513341172
>100 km2,962,387240.951,10,gfdl-esm4,2041-2060_ssp370,2.049608082,0.39086444593260883,0.1820308536591338,0.4029185423833361,0.11987078224832975,0.4228420318226458,0.6835879312568848,0.12911494600822807,0.6948657023838789,0.07239272025446658,0.6987715161297792,0.5607705090452524,0.22946205854639326,0.5798509568122899,0.14483526268592933,0.5966422291558183
>100 km2,962,387240.951,11,gfdl-esm4,2061-2080_ssp370,2.814161775,0.27500186612678695,0.18406618107127104,0.2689372402925055,0.12456759425526964,0.30576137188232405,0.6835879312568848,0.12911494600822807,0.6948657023838789,0.07239272025446658,0.6987715161297792,0.3939640554368252,0.24060548124550035,0.4188804059658664,0.1639637418104782,0.4363115168119883
>100 km2,962,387240.951,12,gfdl-esm4,2081-2100_ssp370,3.532319558,0.20854113942835817,0.18470931109637323,0.161653591896441,0.12087239129749319,0.23318322279181763,0.6835879312568848,0.12911494600822807,0.6948657023838789,0.07239272025446658,0.6987715161297792,0.2966950261875317,0.25720975841685617,0.23264005021668976,0.16356537500784785,0.3244637618597102
>100 km2,962,387240.951,13,gfdl-esm4,2021-2040_ssp585,1.529802668,0.42267605706825057,0.1968941075664688,0.35966094735308063,0.12265651112013665,0.43484800507780963,0.6918189355670067,0.12558505136212986,0.7138904182470784,0.07771320329814735,0.7148173281758778,0.6006483704024786,0.2405718944910763,0.5301821654329434,0.1490085236904748,0.6051680094966505
>100 km2,962,387240.951,14,gfdl-esm4,2041-2060_ssp585,2.18911609,0.3413456210111234,0.19054107825360145,0.295084829621738,0.13270674888695225,0.361407247725662,0.6918189355670067,0.12558505136212986,0.7138904182470784,0.07771320329814735,0.7148173281758778,0.4864642507756049,0.2486461644818305,0.421762183564731,0.16269784911840723,0.5061975108044713
>100 km2,962,387240.951,15,gfdl-esm4,2061-2080_ssp585,3.048039704,0.24702683131019837,0.18801343570461107,0.2343076483049421,0.1313644089085158,0.2771098493331472,0.6918189355670067,0.12558505136212986,0.7138904182470784,0.07771320329814735,0.7148173281758778,0.35052610066731255,0.2585847776400861,0.3224951683291012,0.17683305079136075,0.383793409509831
>100 km2,962,387240.951,16,gfdl-esm4,2081-2100_ssp585,4.001455777,0.15255023455581584,0.17018522570423214,0.0665980615229089,0.0665980615229089,0.16652436776627397,0.6918189355670067,0.12558505136212986,0.7138904182470784,0.07771320329814735,0.7148173281758778,0.2208364623594374,0.2284824510201163,0.11228234462888112,0.11228234462888112,0.23912909968556592
>100 km2,962,387240.951,17,ipsl-cm6a-lr,1851-1870_hist,-0.131913088,0.7097638105639776,0.2117719498124633,0.7262703972671058,0.18716668288265836,0.7496423666424245,0.6839785480515419,0.12392127527082773,0.7183524732826705,0.07829579944141474,0.7092645877614139,1.044002992712024,0.27963622480842426,1.0652346258666447,0.22886068346179989,1.0657553434004852
>100 km2,962,387240.951,18,ipsl-cm6a-lr,1901-1920_hist,-0.143528775,0.7334276001796838,0.1831948945603586,0.7579978044178068,0.12723504613898962,0.763691146827644,0.6839785480515419,0.12392127527082773,0.7183524732826705,0.07829579944141474,0.7092645877614139,1.0836747444771562,0.24383735212123772,1.0903980688639046,0.1483337702914287,1.0890334394920749
>100 km2,962,387240.951,19,ipsl-cm6a-lr,1951-1970_hist,0.302892464,0.628678988389187,0.20978757624304586,0.6650600192336031,0.12781077983299333,0.6526450092670587,0.6839785480515419,0.12392127527082773,0.7183524732826705,0.07829579944141474,0.7092645877614139,0.9154319330816886,0.2622391131773562,0.977397959803319,0.14936314669497258,0.9202883125148207
>100 km2,962,387240.951,20,ipsl-cm6a-lr,1995-2014_hist,0.913312833,0.5415308977389172,0.2015818095375526,0.5641355577555938,0.13654525828151273,0.5756538649050588,0.6839785480515419,0.12392127527082773,0.7183524732826705,0.07829579944141474,0.7092645877614139,0.7804131373590607,0.2404387307947126,0.8270200288392138,0.14915551822869777,0.8051559515129404
>100 km2,962,387240.951,21,ipsl-cm6a-lr,2021-2040_ssp126,1.636714967,0.4145350767220788,0.18238740710065757,0.4555379032381209,0.13746097577577374,0.45445250587835145,0.6839785480515419,0.12392127527082773,0.7183524732826705,0.07829579944141474,0.7092645877614139,0.6036405062646374,0.23660202146838238,0.6537639951928615,0.16621158247795673,0.6479218239015558
