,gcm,period_scenario,temp_ch_ipcc,AAR_steady_mean,AAR_steady_std,AAR_steady_median,AAR_steady_MAD,AAR_steady_area_weighted_mean,AAR_mean_mean,AAR_mean_std,AAR_mean_median,AAR_mean_MAD,AAR_mean_area_weighted_mean,disequilibrium_mean,disequilibrium_std,disequilibrium_median,disequilibrium_MAD,disequilibrium_area_weighted_mean
0,era5,2014-2023,1.2,0.5483371460808033,0.08716208966022938,0.5355999328581522,0.03857654023727902,0.6259321225868791,0.3912323132358079,0.19208981982536763,0.3785058136306952,0.10558691136721166,0.460975626052692,0.713566199900782,0.3358188189783408,0.703686039286716,0.19121971014981226,0.7175140159211174
1,gfdl-esm4,1851-1870_hist,0.231409328,0.5512340077100856,0.08477571484865708,0.5372623673010437,0.036273392501889656,0.6294779124750036,0.7948041922359312,0.1475097500323913,0.8248345826600822,0.07561922632167917,0.6892241255513177,1.4701995992939634,0.3355879126198938,1.4982979010720086,0.20228538364015247,1.1078311579653484
2,gfdl-esm4,1901-1920_hist,0.478289046,0.5512340077100856,0.08477571484865708,0.5372623673010437,0.036273392501889656,0.6294779124750036,0.6921408968706428,0.16894009778125232,0.7180319782717638,0.10054799701646139,0.6156256961137074,1.2753882327821628,0.3439689274446811,1.298675769460238,0.2100911881391021,0.9791200259493842
3,gfdl-esm4,1951-1970_hist,0.392281326,0.5512340077100856,0.08477571484865708,0.5372623673010437,0.036273392501889656,0.6294779124750036,0.6948550038555276,0.16060629867148202,0.715769701586317,0.09481303781339323,0.6254678337801644,1.2808427396121593,0.32928507108953226,1.2976080417537048,0.2039217259092848,0.9960177513951506
4,gfdl-esm4,1995-2014_hist,0.901467077,0.5512340077100856,0.08477571484865708,0.5372623673010437,0.036273392501889656,0.6294779124750036,0.6110915279731193,0.164822404983032,0.6203869777089777,0.10203173936788246,0.5733789429745059,1.1208067056747815,0.311110788050195,1.1281830688013725,0.19126242938725002,0.9038260816247207
5,gfdl-esm4,2021-2040_ssp126,1.493792069,0.5512340077100856,0.08477571484865708,0.5372623673010437,0.036273392501889656,0.6294779124750036,0.5131886347041088,0.18614071389778464,0.500780260400737,0.11923461795498458,0.5049461264605108,0.9388782304014492,0.34538970911257505,0.913438075499746,0.2128133299956767,0.7868578588630519
6,gfdl-esm4,2041-2060_ssp126,1.678749959,0.5512340077100856,0.08477571484865708,0.5372623673010437,0.036273392501889656,0.6294779124750036,0.39927234452065397,0.18505281288886682,0.3832499728762183,0.10593529010984468,0.47726850598453713,0.7231338172091454,0.3207278941586749,0.7111496229367775,0.18920424026777388,0.7358308742474619
7,gfdl-esm4,2061-2080_ssp126,1.730055687,0.5512340077100856,0.08477571484865708,0.5372623673010437,0.036273392501889656,0.6294779124750036,0.43428902507970596,0.20463010434728218,0.41376751579294857,0.11989851792529771,0.45529734545685085,0.7874478275656954,0.35861589465831145,0.7653538534380602,0.21535297140029547,0.7057464705239137
8,gfdl-esm4,2081-2100_ssp126,1.684476548,0.5512340077100856,0.08477571484865708,0.5372623673010437,0.036273392501889656,0.6294779124750036,0.4893265429350651,0.19560875247337411,0.4727326041083387,0.12629409265789213,0.46362676816280046,0.8934414277401239,0.3569861276324009,0.8667560527241917,0.22761771377634282,0.7211592806135427
9,gfdl-esm4,2021-2040_ssp370,1.488564228,0.5517271942600088,0.08910307638765846,0.5360632012564528,0.036354377041331876,0.6283396249751113,0.4469240504098317,0.18759793677734302,0.4361071439348683,0.11231413517863609,0.48595535171316395,0.8117693301343106,0.33029412877935793,0.7987311146915215,0.1966640671441967,0.7540947133645631
