,gcm,period_scenario,temp_ch_ipcc,n_glacier,all_steady,all_mean,MCMC_calibration_failed,run_simulation_2000_2025,run_simulations,AAR_steady,AAR_mean
61,mri-esm2-0,2021-2040_ssp585,1.911734937,215547,19560,8597,900,421,49,18239,7648
62,mri-esm2-0,2041-2060_ssp585,2.687007085,215547,19560,8084,900,421,49,18239,7135
63,mri-esm2-0,2061-2080_ssp585,3.541685939,215547,19560,7793,900,421,49,18239,6844
64,mri-esm2-0,2081-2100_ssp585,4.594325176,215547,19560,7427,900,421,49,18239,6478
65,ukesm1-0-ll,1851-1870_hist,0.373094842,215547,18392,8948,900,422,49,17070,7999
66,ukesm1-0-ll,1901-1920_hist,0.353528895,215547,18392,8911,900,422,49,17070,7962
67,ukesm1-0-ll,1951-1970_hist,0.23742077,215547,18392,9571,900,422,49,17070,8622
68,ukesm1-0-ll,1995-2014_hist,1.058767333,215547,18392,8278,900,422,49,17070,7329
69,ukesm1-0-ll,2021-2040_ssp126,2.176143904,215547,18392,8437,900,422,49,17070,7488
70,ukesm1-0-ll,2041-2060_ssp126,2.739835015,215547,18392,8319,900,422,49,17070,7370
71,ukesm1-0-ll,2061-2080_ssp126,2.951472593,215547,18392,8113,900,422,49,17070,7164
72,ukesm1-0-ll,2081-2100_ssp126,3.038482623,215547,18392,7802,900,422,49,17070,6853
73,ukesm1-0-ll,2021-2040_ssp370,2.32331738,215547,18152,8614,900,422,49,16830,7665
74,ukesm1-0-ll,2041-2060_ssp370,3.414120006,215547,18152,7733,900,422,49,16830,6784
75,ukesm1-0-ll,2061-2080_ssp370,4.439976801,215547,18152,7425,900,422,49,16830,6476
76,ukesm1-0-ll,2081-2100_ssp370,5.840495128,215547,18152,7137,900,422,49,16830,6188
77,ukesm1-0-ll,2021-2040_ssp585,2.319732626,215547,18727,8554,900,432,49,17395,7605
78,ukesm1-0-ll,2041-2060_ssp585,3.646967578,215547,18727,7799,900,432,49,17395,6850
79,ukesm1-0-ll,2061-2080_ssp585,5.230543689,215547,18727,7305,900,432,49,17395,6356
80,ukesm1-0-ll,2081-2100_ssp585,6.884361024,215547,18727,7024,900,432,49,17395,6075
