region_class,n_glaciers,rgi_area_km2,vol_2020_m3,experiment,gcm,period_scenario,temp_ch_ipcc,area_steady,volume_steady,mass_remaining
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,37,mpi-esm1-2-hr,2021-2040_ssp126,1.469113359,115510.89814642312,36222868371447.92,79.50421522546574
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,38,mpi-esm1-2-hr,2041-2060_ssp126,1.656830929,115227.69124301369,35903466538644.734,78.80317212202645
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,39,mpi-esm1-2-hr,2061-2080_ssp126,1.695689732,107262.46771181455,33064325922305.46,72.5716488671005
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,40,mpi-esm1-2-hr,2081-2100_ssp126,1.659995843,107929.01818840046,33599892426318.74,73.74714369997754
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,41,mpi-esm1-2-hr,2021-2040_ssp370,1.493779364,125164.09770846434,40181454179186.65,88.19276674545002
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,42,mpi-esm1-2-hr,2041-2060_ssp370,2.092677072,93065.51141253824,27993020694396.414,61.44083122507416
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,43,mpi-esm1-2-hr,2061-2080_ssp370,2.718960922,77366.6931250225,22838078147508.09,50.126441168494075
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,44,mpi-esm1-2-hr,2081-2100_ssp370,3.454510652,57255.457848255995,15830105813010.46,34.74490553021801
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,45,mpi-esm1-2-hr,2021-2040_ssp585,1.528303178,114331.70638461469,35715966907538.98,78.39163621401212
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,46,mpi-esm1-2-hr,2041-2060_ssp585,2.139652727,99164.52380396314,30168892029682.25,66.21656961137612
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,47,mpi-esm1-2-hr,2061-2080_ssp585,2.950347,75502.40944829528,21587016876911.71,47.380533707555934
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,48,mpi-esm1-2-hr,2081-2100_ssp585,3.99079854,48797.6458070443,12896733534113.94,28.30655673336701
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,49,mri-esm2-0,1851-1870_hist,0.190948213,149618.9888465166,48620368481972.3,106.71502324148112
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,50,mri-esm2-0,1901-1920_hist,0.252478266,156698.3717640255,51941190830763.734,114.0037716651692
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,51,mri-esm2-0,1951-1970_hist,0.382652065,146525.26903603904,47666262804799.46,104.6208924750292
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,52,mri-esm2-0,1995-2014_hist,0.922248887,135935.41497443564,43868371874287.766,96.28504411410115
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,53,mri-esm2-0,2021-2040_ssp126,1.72632431,105682.71850373784,32385600470012.184,71.08193982791629
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,54,mri-esm2-0,2041-2060_ssp126,1.996245332,102926.3303395395,30906794018415.664,67.83616301093703
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,55,mri-esm2-0,2061-2080_ssp126,2.09126599,96842.58724074,28744273709963.168,63.089728292692335
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,56,mri-esm2-0,2081-2100_ssp126,1.94778826,87214.6781527821,25223496862861.547,55.362107240091106
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,57,mri-esm2-0,2021-2040_ssp370,1.705488886,114100.71449404185,35488791462735.95,77.8930173505817
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,58,mri-esm2-0,2041-2060_ssp370,2.404955866,86771.67843578004,25435692699418.81,55.827847923203166
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,59,mri-esm2-0,2061-2080_ssp370,3.105613809,57723.93178881108,15422102454463.645,33.84939426098381
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,60,mri-esm2-0,2081-2100_ssp370,3.811452497,44037.167361960586,11204612815594.281,24.592584432413112
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,61,mri-esm2-0,2021-2040_ssp585,1.911734937,96472.38010273238,28593996642902.574,62.75989079444345
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,62,mri-esm2-0,2041-2060_ssp585,2.687007085,88767.8081045524,26238917988539.9,57.59081698479069
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,63,mri-esm2-0,2061-2080_ssp585,3.541685939,40423.23477214493,10123056747380.76,22.218717582778556
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,64,mri-esm2-0,2081-2100_ssp585,4.594325176,27722.900095962563,6454547999050.304,14.166845320954414
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,65,ukesm1-0-ll,1851-1870_hist,0.373094842,152929.04722583678,50563150128100.12,110.97916181123561
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,66,ukesm1-0-ll,1901-1920_hist,0.353528895,151223.01489724233,49655827064251.85,108.98771244815642
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,67,ukesm1-0-ll,1951-1970_hist,0.23742077,144860.40680170263,47375030806701.56,103.98167828525595
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,68,ukesm1-0-ll,1995-2014_hist,1.058767333,141637.50835929878,46425169812184.64,101.89686401356579
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,69,ukesm1-0-ll,2021-2040_ssp126,2.176143904,119155.83459978772,37891973334779.375,83.16767110857842
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,70,ukesm1-0-ll,2041-2060_ssp126,2.739835015,105609.22170371302,32715140960659.664,71.80523589120084
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,71,ukesm1-0-ll,2061-2080_ssp126,2.951472593,103692.28635550308,31928339208504.695,70.07831423492445
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,72,ukesm1-0-ll,2081-2100_ssp126,3.038482623,96652.41686544694,29315648791060.22,64.3438180283858
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,73,ukesm1-0-ll,2021-2040_ssp370,2.32331738,122094.94761447485,38987278396140.67,85.57171510760779
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,74,ukesm1-0-ll,2041-2060_ssp370,3.414120006,75698.85345775062,21792627028421.742,47.831819717558375
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,75,ukesm1-0-ll,2061-2080_ssp370,4.439976801,52411.506325558046,13750487470538.918,30.18042922781096
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,76,ukesm1-0-ll,2081-2100_ssp370,5.840495128,20203.504457871484,4540507563078.961,9.965789755413978
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,77,ukesm1-0-ll,2021-2040_ssp585,2.319732626,116434.18264782656,37012048603746.01,81.23635731860176
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,78,ukesm1-0-ll,2041-2060_ssp585,3.646967578,83730.12828616523,25076697155416.07,55.03990206804074
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,79,ukesm1-0-ll,2061-2080_ssp585,5.230543689,44221.610350396586,11183952548408.148,24.547237986843477
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,80,ukesm1-0-ll,2081-2100_ssp585,6.884361024,16361.986724425951,3681204870915.638,8.079738505109745
