,gcm,period_scenario,temp_ch_ipcc,AAR_steady_mean,AAR_steady_std,AAR_steady_median,AAR_steady_MAD,AAR_steady_area_weighted_mean,AAR_mean_mean,AAR_mean_std,AAR_mean_median,AAR_mean_MAD,AAR_mean_area_weighted_mean,disequilibrium_mean,disequilibrium_std,disequilibrium_median,disequilibrium_MAD,disequilibrium_area_weighted_mean
22,ipsl-cm6a-lr,2041-2060_ssp126,2.049075593,0.537523087,0.094863389,0.532470914,0.042707636,0.655257818,0.311512373,0.270424967,0.255458252,0.201283354,0.347036302,0.575726675,0.50181765,0.485446402,0.356394317,0.517673558
23,ipsl-cm6a-lr,2061-2080_ssp126,2.191208244,0.537523087,0.094863389,0.532470914,0.042707636,0.655257818,0.214890811,0.252120753,0.124459222,0.124459222,0.315961969,0.393717702,0.464202991,0.239355641,0.239355641,0.46785144
24,ipsl-cm6a-lr,2081-2100_ssp126,2.171220561,0.537523087,0.094863389,0.532470914,0.042707636,0.655257818,0.233885484,0.252517014,0.157751061,0.157751061,0.284556661,0.431117575,0.468295279,0.300134913,0.300134913,0.424986262
25,ipsl-cm6a-lr,2021-2040_ssp370,1.678163601,0.535861327,0.09653182,0.531305806,0.04375778,0.653587837,0.42307867,0.256489136,0.411336725,0.186875005,0.413371342,0.791798544,0.489105332,0.744287138,0.331719073,0.620778264
26,ipsl-cm6a-lr,2041-2060_ssp370,2.594826972,0.535861327,0.09653182,0.531305806,0.04375778,0.653587837,0.186067107,0.245734419,0.069603978,0.069603978,0.255986784,0.343819734,0.46484167,0.138131672,0.138131672,0.384694697
27,ipsl-cm6a-lr,2061-2080_ssp370,3.513114684,0.535861327,0.09653182,0.531305806,0.04375778,0.653587837,0.070918797,0.170183484,0,0,0.175984383,0.126577209,0.3096997,0,0,0.254564838
28,ipsl-cm6a-lr,2081-2100_ssp370,4.677751369,0.535861327,0.09653182,0.531305806,0.04375778,0.653587837,0.029678824,0.113617083,0,0,0.09814757,0.052449129,0.207783833,0,0,0.139456171
29,ipsl-cm6a-lr,2021-2040_ssp585,1.66491004,0.535913897,0.096065591,0.532079833,0.042205743,0.65881678,0.390059725,0.257111895,0.363996116,0.185239495,0.41038003,0.725168755,0.479063162,0.672151174,0.328809707,0.607781892
30,ipsl-cm6a-lr,2041-2060_ssp585,2.84393776,0.535913897,0.096065591,0.532079833,0.042205743,0.65881678,0.158855886,0.243169928,0.023174896,0.023174896,0.240807378,0.290285867,0.450704702,0.043014888,0.043014888,0.358912359
31,ipsl-cm6a-lr,2061-2080_ssp585,4.160098437,0.535913897,0.096065591,0.532079833,0.042205743,0.65881678,0.047575542,0.139026672,0,0,0.13040773,0.085464452,0.25504248,0,0,0.187350184
32,ipsl-cm6a-lr,2081-2100_ssp585,5.849305066,0.535913897,0.096065591,0.532079833,0.042205743,0.65881678,0.013195988,0.075038149,0,0,0.059702412,0.023022906,0.133494617,0,0,0.084648386
33,mpi-esm1-2-hr,1851-1870_hist,0.083373661,0.538408217,0.095475617,0.534882949,0.039958631,0.663104038,0.747292019,0.199365557,0.78963693,0.123500185,0.642647938,1.420823536,0.444096326,1.457376951,0.259154387,0.990044225
34,mpi-esm1-2-hr,1901-1920_hist,0.101656085,0.538408217,0.095475617,0.534882949,0.039958631,0.663104038,0.730686244,0.195669677,0.773333376,0.121958287,0.658884175,1.386478313,0.420510264,1.415442209,0.25247766,1.015714727
35,mpi-esm1-2-hr,1951-1970_hist,0.353009146,0.538408217,0.095475617,0.534882949,0.039958631,0.663104038,0.689175606,0.202014727,0.729770911,0.131196161,0.624414625,1.3012412,0.40311391,1.331141806,0.255851005,0.952241686
36,mpi-esm1-2-hr,1995-2014_hist,0.904939372,0.538408217,0.095475617,0.534882949,0.039958631,0.663104038,0.556875731,0.217961407,0.571237679,0.157961179,0.529135587,1.038761594,0.402115908,1.0377224,0.281780151,0.790322205
37,mpi-esm1-2-hr,2021-2040_ssp126,1.469113359,0.538408217,0.095475617,0.534882949,0.039958631,0.663104038,0.436235816,0.238939642,0.422360122,0.171619646,0.427162055,0.808151522,0.440519135,0.775051072,0.303890385,0.634224592
38,mpi-esm1-2-hr,2041-2060_ssp126,1.656830929,0.538408217,0.095475617,0.534882949,0.039958631,0.663104038,0.398600467,0.241371286,0.387239754,0.170709196,0.423340405,0.738073506,0.448102504,0.710042337,0.300061572,0.623125548
39,mpi-esm1-2-hr,2061-2080_ssp126,1.695689732,0.538408217,0.095475617,0.534882949,0.039958631,0.663104038,0.370083807,0.240957539,0.354378568,0.171797023,0.412377177,0.683471278,0.44363112,0.638663043,0.300664871,0.605796512
40,mpi-esm1-2-hr,2081-2100_ssp126,1.659995843,0.538408217,0.095475617,0.534882949,0.039958631,0.663104038,0.380044324,0.236680878,0.35633353,0.166920382,0.387113599,0.702302571,0.435592927,0.657154144,0.29265553,0.575807691
41,mpi-esm1-2-hr,2021-2040_ssp370,1.493779364,0.540341087,0.095173506,0.535419814,0.041081708,0.660823677,0.43888747,0.234463391,0.436174145,0.166540313,0.427946714,0.813164179,0.436198268,0.793545937,0.30159174,0.63521721
42,mpi-esm1-2-hr,2041-2060_ssp370,2.092677072,0.540341087,0.095173506,0.535419814,0.041081708,0.660823677,0.294184433,0.246930252,0.253337931,0.176606547,0.315199892,0.539154542,0.451732936,0.455594582,0.311654082,0.463305702
43,mpi-esm1-2-hr,2061-2080_ssp370,2.718960922,0.540341087,0.095173506,0.535419814,0.041081708,0.660823677,0.180115715,0.229595308,0.085568606,0.085568606,0.271508636,0.326631317,0.419165044,0.167590207,0.167590207,0.394436067
44,mpi-esm1-2-hr,2081-2100_ssp370,3.454510652,0.540341087,0.095173506,0.535419814,0.041081708,0.660823677,0.078922163,0.171116009,0,0,0.211166194,0.139619369,0.305325746,0,0,0.305944101
45,mpi-esm1-2-hr,2021-2040_ssp585,1.528303178,0.540318776,0.096755588,0.534180324,0.040908157,0.669081832,0.425642815,0.238339773,0.424092476,0.170253536,0.450679256,0.785987541,0.440565753,0.770452288,0.303024832,0.659694811
46,mpi-esm1-2-hr,2041-2060_ssp585,2.139652727,0.540318776,0.096755588,0.534180324,0.040908157,0.669081832,0.278773355,0.251295628,0.230778613,0.180853183,0.368579813,0.510222345,0.463829932,0.421987715,0.315964311,0.53215665
47,mpi-esm1-2-hr,2061-2080_ssp585,2.950347,0.540318776,0.096755588,0.534180324,0.040908157,0.669081832,0.110223983,0.193991275,0,0,0.287203586,0.195712561,0.346434352,0,0,0.404149997
48,mpi-esm1-2-hr,2081-2100_ssp585,3.99079854,0.540318776,0.096755588,0.534180324,0.040908157,0.669081832,0.059064838,0.163514856,0,0,0.190384555,0.105928892,0.300650826,0,0,0.267146387
49,mri-esm2-0,1851-1870_hist,0.190948213,0.535905311,0.094864839,0.533041243,0.041673104,0.650391816,0.714136928,0.194727675,0.757744406,0.117785933,0.716364604,1.360193747,0.418690764,1.38313772,0.244582132,1.12294837
50,mri-esm2-0,1901-1920_hist,0.252478266,0.535905311,0.094864839,0.533041243,0.041673104,0.650391816,0.716564082,0.198865041,0.763543278,0.119627293,0.689610395,1.363245895,0.42056708,1.398090378,0.249773765,1.077477103
