region_class,n_glaciers,rgi_area_km2,vol_2020_m3,experiment,gcm,period_scenario,temp_ch_ipcc,area_steady,volume_steady,mass_remaining
MT_all,3242,281468.73,87727795003681.53,42,mpi-esm1-2-hr,2041-2060_ssp370,2.092677072,129902.71680494293,36694228983289.73,41.82736951470151
MT_all,3242,281468.73,87727795003681.53,43,mpi-esm1-2-hr,2061-2080_ssp370,2.718960922,108120.70731857119,30125071211695.2,34.339254976636525
MT_all,3242,281468.73,87727795003681.53,44,mpi-esm1-2-hr,2081-2100_ssp370,3.454510652,82798.1038865041,23591822599761.09,26.89207291574016
MT_all,3242,281468.73,87727795003681.53,45,mpi-esm1-2-hr,2021-2040_ssp585,1.528303178,195227.15107168065,56830070165626.336,64.78000520045151
MT_all,3242,281468.73,87727795003681.53,46,mpi-esm1-2-hr,2041-2060_ssp585,2.139652727,167459.37768025728,48697501578924.266,55.509774954312554
MT_all,3242,281468.73,87727795003681.53,47,mpi-esm1-2-hr,2061-2080_ssp585,2.950347,142268.49314744322,40768372580187.164,46.471443376043254
MT_all,3242,281468.73,87727795003681.53,48,mpi-esm1-2-hr,2081-2100_ssp585,3.99079854,90191.51167661724,25395640528403.34,28.94822618913151
MT_all,3242,281468.73,87727795003681.53,49,mri-esm2-0,1851-1870_hist,0.190948213,331780.0619193772,108390459197292.12,123.55315575040211
MT_all,3242,281468.73,87727795003681.53,50,mri-esm2-0,1901-1920_hist,0.252478266,303185.57079459424,96873960366236.75,110.4256186561755
MT_all,3242,281468.73,87727795003681.53,51,mri-esm2-0,1951-1970_hist,0.382652065,306235.3315353958,98490680516010.19,112.26850111971581
MT_all,3242,281468.73,87727795003681.53,52,mri-esm2-0,1995-2014_hist,0.922248887,242982.45133435077,73807123936749.3,84.1319720091585
MT_all,3242,281468.73,87727795003681.53,53,mri-esm2-0,2021-2040_ssp126,1.72632431,144500.55069833065,40122378283028.1,45.73508120356194
MT_all,3242,281468.73,87727795003681.53,54,mri-esm2-0,2041-2060_ssp126,1.996245332,160482.13993008004,46991972730467.29,53.56566037992321
MT_all,3242,281468.73,87727795003681.53,55,mri-esm2-0,2061-2080_ssp126,2.09126599,144845.52099169284,41767472523839.2,47.610306998011765
MT_all,3242,281468.73,87727795003681.53,56,mri-esm2-0,2081-2100_ssp126,1.94778826,161881.08390606087,46656377100041.16,53.18311841541578
MT_all,3242,281468.73,87727795003681.53,57,mri-esm2-0,2021-2040_ssp370,1.705488886,181007.98423357215,52302584446581.58,59.61917137480393
MT_all,3242,281468.73,87727795003681.53,58,mri-esm2-0,2041-2060_ssp370,2.404955866,124033.90146745088,33650044766947.543,38.35733562610961
MT_all,3242,281468.73,87727795003681.53,59,mri-esm2-0,2061-2080_ssp370,3.105613809,69325.91877778161,18465054208213.57,21.048123012140767
MT_all,3242,281468.73,87727795003681.53,60,mri-esm2-0,2081-2100_ssp370,3.811452497,52914.19336982992,13572322697525.9,15.470949311967013
