tidewater_class,n_glaciers,rgi_area_km2,experiment,gcm,period_scenario,temp_ch_ipcc,AAR_mean_mean,AAR_mean_std,AAR_mean_median,AAR_mean_MAD,AAR_mean_area_weighted_mean,AAR_steady_mean,AAR_steady_std,AAR_steady_median,AAR_steady_MAD,AAR_steady_area_weighted_mean,disequilibrium_mean,disequilibrium_std,disequilibrium_median,disequilibrium_MAD,disequilibrium_area_weighted_mean
land-terminating,212303,424267.549,0,era5,2014-2023,1.2,0.39163934558580615,0.2567414605995756,0.3695707250715356,0.1814622696402792,0.38096562567865017,0.5357356032394465,0.09284620955597638,0.5335213163102115,0.04081002351664448,0.5890918885816724,0.7228644327898477,0.4621821769668336,0.6841524445169,0.31456539274224354,0.6288424436931777
land-terminating,212303,424267.549,1,gfdl-esm4,1851-1870_hist,0.231409328,0.6596988820451685,0.2156657931746577,0.6918558187346293,0.14978017388720655,0.5481739833263408,0.5345980374163454,0.09418530611104664,0.5310484902145686,0.04240494899980152,0.5991501275513269,1.253535531661519,0.43042420817620136,1.2771829617839492,0.2856002622409254,0.9200492229684883
land-terminating,212303,424267.549,2,gfdl-esm4,1901-1920_hist,0.478289046,0.6188650224258021,0.22280221528423785,0.643306822396105,0.16219942693323974,0.5126208772496573,0.5345980374163454,0.09418530611104664,0.5310484902145686,0.04240494899980152,0.5991501275513269,1.1719752701509192,0.4328980791195903,1.1864648588293554,0.29383211525299346,0.8529833239552176
land-terminating,212303,424267.549,3,gfdl-esm4,1951-1970_hist,0.392281326,0.6709217670193219,0.21209654642534886,0.7069195663252994,0.1467337345668841,0.538260863972747,0.5345980374163454,0.09418530611104664,0.5310484902145686,0.04240494899980152,0.5991501275513269,1.2765323727852247,0.42635844801767475,1.306027068291587,0.27860250683284504,0.903426078222704
land-terminating,212303,424267.549,4,gfdl-esm4,1995-2014_hist,0.901467077,0.5680868231226845,0.21884757051403622,0.5863571151215494,0.15905083106597084,0.4794901609348993,0.5345980374163454,0.09418530611104664,0.5310484902145686,0.04240494899980152,0.5991501275513269,1.0674077394156485,0.40349922105634106,1.0801798628869084,0.2885493838739568,0.7887074431488762
land-terminating,212303,424267.549,5,gfdl-esm4,2021-2040_ssp126,1.493792069,0.3998705827441661,0.24559027200608796,0.3837233963332504,0.1773631038230281,0.3792922636184451,0.5345980374163454,0.09418530611104664,0.5310484902145686,0.04240494899980152,0.5991501275513269,0.7477551464381267,0.4603406050550127,0.7112546304236569,0.3224207551743532,0.6155311296885326
land-terminating,212303,424267.549,6,gfdl-esm4,2041-2060_ssp126,1.678749959,0.3509404450321893,0.24783679066185677,0.3242837692683508,0.1807317937353859,0.3460271075489946,0.5345980374163454,0.09418530611104664,0.5310484902145686,0.04240494899980152,0.5991501275513269,0.6549929450022177,0.46206055981589933,0.598857276592086,0.3241458057884943,0.5578013971699186
land-terminating,212303,424267.549,7,gfdl-esm4,2061-2080_ssp126,1.730055687,0.3158737742691594,0.2517532040056588,0.2796901835350944,0.1829234851900628,0.3200165955986236,0.5345980374163454,0.09418530611104664,0.5310484902145686,0.04240494899980152,0.5991501275513269,0.5894001858991107,0.47381219599071045,0.5132722860595078,0.3282375610639559,0.5118850809603426
land-terminating,212303,424267.549,8,gfdl-esm4,2081-2100_ssp126,1.684476548,0.3374425126760295,0.25219860648986575,0.3174243438752378,0.1923912071241924,0.32586247747856206,0.5345980374163454,0.09418530611104664,0.5310484902145686,0.04240494899980152,0.5991501275513269,0.6295684038498114,0.4711970235445209,0.5836870703184952,0.34808628232379846,0.5205631462081975
land-terminating,212303,424267.549,9,gfdl-esm4,2021-2040_ssp370,1.488564228,0.3939313980619803,0.2365614161905854,0.3722077341432203,0.16526202412745178,0.36558232568759563,0.5338080114624023,0.0941320997396408,0.5298176635479513,0.040430517251524356,0.5962578091546724,0.7365138742764563,0.44113781494107707,0.6992834638531288,0.2963299339322848,0.5940919010857713
land-terminating,212303,424267.549,10,gfdl-esm4,2041-2060_ssp370,2.049608082,0.2607783275609143,0.24171605916497052,0.2170708765006395,0.1753295795644532,0.3040489535376111,0.5338080114624023,0.0941320997396408,0.5298176635479513,0.040430517251524356,0.5962578091546724,0.4839135259344351,0.4496308516853956,0.403282532107258,0.31769203849823757,0.4890697398493112
land-terminating,212303,424267.549,11,gfdl-esm4,2061-2080_ssp370,2.814161775,0.12605810291222497,0.20531759471741573,0.0,0.0,0.19615808638389043,0.5338080114624023,0.0941320997396408,0.5298176635479513,0.040430517251524356,0.5962578091546724,0.2314668350619168,0.381002633671498,0.0,0.0,0.3065654673272019
land-terminating,212303,424267.549,12,gfdl-esm4,2081-2100_ssp370,3.532319558,0.053281857774053754,0.15193473035675661,0.0,0.0,0.16339468039451324,0.5338080114624023,0.0941320997396408,0.5298176635479513,0.040430517251524356,0.5962578091546724,0.09285362768812738,0.2651694075831151,0.0,0.0,0.25052159663957607
