,gcm,period_scenario,temp_ch_ipcc,AAR_steady_mean,AAR_steady_std,AAR_steady_median,AAR_steady_MAD,AAR_steady_area_weighted_mean,AAR_mean_mean,AAR_mean_std,AAR_mean_median,AAR_mean_MAD,AAR_mean_area_weighted_mean,disequilibrium_mean,disequilibrium_std,disequilibrium_median,disequilibrium_MAD,disequilibrium_area_weighted_mean
0,era5,2014-2023,1.2,0.5378136456852001,0.09501859042515326,0.5345140905926536,0.04167661984556437,0.6451619210108834,0.3935185257471911,0.2569809419928524,0.37080629814448895,0.18230787765627085,0.4604274716238895,0.7234002818894762,0.46059431264929784,0.6859367058408207,0.3126473310350435,0.6967944382142167
1,gfdl-esm4,1851-1870_hist,0.231409328,0.5366914030792874,0.09622737066141983,0.5310484902145686,0.04320929380940086,0.6491815792380132,0.6599669541030674,0.21573030371596585,0.6922126177482907,0.14986560109823743,0.6198605846194175,1.249939823368686,0.4301465680056571,1.2715076024126915,0.2854270657940958,0.9578425920010849
2,gfdl-esm4,1901-1920_hist,0.478289046,0.5366914030792874,0.09622737066141983,0.5310484902145686,0.04320929380940086,0.6491815792380132,0.6184666801716382,0.22279302094371903,0.6422205850300315,0.16237638308083013,0.5711139498472156,1.1675571906439146,0.4329532477830566,1.1808636638799515,0.29426600774417266,0.8774367344496714
3,gfdl-esm4,1951-1970_hist,0.392281326,0.5366914030792874,0.09622737066141983,0.5310484902145686,0.04320929380940086,0.6491815792380132,0.6708379472201207,0.2123045570700116,0.7069406825844711,0.14702413396750746,0.6115784936212724,1.2723034476963502,0.4266387969880833,1.3008993651379368,0.27960312913428864,0.9455257458957461
4,gfdl-esm4,1995-2014_hist,0.901467077,0.5366914030792874,0.09622737066141983,0.5310484902145686,0.04320929380940086,0.6491815792380132,0.5684757739140016,0.21911410999523023,0.586850554326218,0.15926145762377508,0.5494665806842843,1.064551859530539,0.40327934595342035,1.0760255794772724,0.2883744390748326,0.8372370789178124
5,gfdl-esm4,2021-2040_ssp126,1.493792069,0.5366914030792874,0.09622737066141983,0.5310484902145686,0.04320929380940086,0.6491815792380132,0.40012484849559354,0.2452722621076021,0.3837233963332504,0.17703787324843917,0.4410404993093885,0.7457004459348363,0.4590565979837425,0.7095208667674704,0.3204216268250203,0.6641181683642317
6,gfdl-esm4,2041-2060_ssp126,1.678749959,0.5366914030792874,0.09622737066141983,0.5310484902145686,0.04320929380940086,0.6491815792380132,0.3525483726143155,0.24812630161167892,0.3261654848919101,0.1817228238472319,0.42225018999602265,0.6552644126777175,0.46081717077171924,0.600364982843305,0.32265507189487186,0.630247673637751
7,gfdl-esm4,2061-2080_ssp126,1.730055687,0.5366914030792874,0.09622737066141983,0.5310484902145686,0.04320929380940086,0.6491815792380132,0.31758475263658786,0.25194115750565366,0.2818791669158318,0.1837156313117036,0.40365112875663567,0.5900860653114379,0.47245270530166517,0.5153055368981184,0.32644328625270014,0.6000807974685829
8,gfdl-esm4,2081-2100_ssp126,1.684476548,0.5366914030792874,0.09622737066141983,0.5310484902145686,0.04320929380940086,0.6491815792380132,0.3390283172309237,0.25229488707758835,0.3195994812560944,0.192949194353346,0.40516601470502833,0.6299375309184446,0.46979645583001073,0.5836870703184952,0.34567648897736125,0.6023983031811388
9,gfdl-esm4,2021-2040_ssp370,1.488564228,0.5359813469132543,0.09634136406185495,0.5308654393300275,0.04132288539398299,0.6490658620344723,0.39482082298790944,0.23678458617664436,0.3734489200271166,0.1656460510233718,0.4506729189074258,0.7353687222116049,0.44026200479086186,0.6992648279762157,0.2950901938075827,0.6754070028137427
