area_class,n_glaciers,rgi_area_km2,experiment,gcm,period_scenario,temp_ch_ipcc,AAR_mean_mean,AAR_mean_std,AAR_mean_median,AAR_mean_MAD,AAR_mean_area_weighted_mean,AAR_steady_mean,AAR_steady_std,AAR_steady_median,AAR_steady_MAD,AAR_steady_area_weighted_mean,disequilibrium_mean,disequilibrium_std,disequilibrium_median,disequilibrium_MAD,disequilibrium_area_weighted_mean
<1 km2,170576,43560.728,0,era5,2014-2023,1.2,0.4057430260921746,0.26383786959614236,0.3820592177243931,0.19002477139067736,0.3577321196456261,0.5324749221110171,0.08650931374493163,0.5293962097336469,0.037793988567231096,0.5307871875888862,0.7561030935986909,0.4811362568895125,0.7248198381200208,0.3385351286838222,0.6618002886455372
<1 km2,170576,43560.728,1,gfdl-esm4,1851-1870_hist,0.231409328,0.6847967266306126,0.20773958203250223,0.7215000451761082,0.1352291997229066,0.6362710102213475,0.5298466130548819,0.08868655608404816,0.5258219397009392,0.03969778209590072,0.5279183193610912,1.3137791447875204,0.4249612218457791,1.3475359748545772,0.2679020075660604,1.2163504142900599
<1 km2,170576,43560.728,2,gfdl-esm4,1901-1920_hist,0.478289046,0.6443495691252935,0.2145319983964293,0.6776045284645877,0.14962027833057717,0.5865709468134636,0.5298466130548819,0.08868655608404816,0.5258219397009392,0.03969778209590072,0.5279183193610912,1.2327259175402474,0.4267849334693077,1.2581491616542995,0.27904410048250206,1.1173461535598046
<1 km2,170576,43560.728,3,gfdl-esm4,1951-1970_hist,0.392281326,0.699169072100398,0.19925514274756,0.7348602862349181,0.13379043527138462,0.6479254077468711,0.5298466130548819,0.08868655608404816,0.5258219397009392,0.03969778209590072,0.5279183193610912,1.3426764770165294,0.4120461195000459,1.3777736600581596,0.25550433897100944,1.2408950256134053
<1 km2,170576,43560.728,4,gfdl-esm4,1995-2014_hist,0.901467077,0.5927636925516807,0.21130261781473964,0.6195819543490236,0.14693009700783177,0.5344782340413193,0.5298466130548819,0.08868655608404816,0.5258219397009392,0.03969778209590072,0.5279183193610912,1.126342863115088,0.39697602916516805,1.1566139411652314,0.2708758560661639,1.0092969784676349
<1 km2,170576,43560.728,5,gfdl-esm4,2021-2040_ssp126,1.493792069,0.41768612151228784,0.251118744359303,0.4066384460558998,0.18177618943009743,0.36268667003896216,0.5298466130548819,0.08868655608404816,0.5258219397009392,0.03969778209590072,0.5279183193610912,0.7911022422123666,0.4777498105543503,0.7772033607622982,0.3359387233672926,0.6822352477010323
<1 km2,170576,43560.728,6,gfdl-esm4,2041-2060_ssp126,1.678749959,0.36677018399654454,0.255273341356532,0.3474407300741274,0.18987498737712385,0.3164499816799128,0.5298466130548819,0.08868655608404816,0.5258219397009392,0.03969778209590072,0.5279183193610912,0.6935039096068908,0.4831689297169234,0.6516631153051187,0.35044671509474123,0.5934319968034606
<1 km2,170576,43560.728,7,gfdl-esm4,2061-2080_ssp126,1.730055687,0.33147656776951884,0.2625208338494085,0.2952353633510238,0.1987408355036388,0.28426784353001333,0.5298466130548819,0.08868655608404816,0.5258219397009392,0.03969778209590072,0.5279183193610912,0.6266037695243547,0.5004600386812579,0.5619179866716792,0.3686412424728428,0.5333317658159414
<1 km2,170576,43560.728,8,gfdl-esm4,2081-2100_ssp126,1.684476548,0.3540639727679739,0.25986799261379206,0.33858513329944234,0.20288564314038676,0.29967887321416653,0.5298466130548819,0.08868655608404816,0.5258219397009392,0.03969778209590072,0.5279183193610912,0.6693501899317861,0.4921873129234992,0.6378409441725772,0.37536098788359284,0.562026330213625
<1 km2,170576,43560.728,9,gfdl-esm4,2021-2040_ssp370,1.488564228,0.41447290499108624,0.24043866503423433,0.40208918370491586,0.1679501058983154,0.35349151194748474,0.5294577742574907,0.08724936667445043,0.5265031583793544,0.037261844047753456,0.5271594233857918,0.7840181229181594,0.4553081537204769,0.7611844021106173,0.3065416137122444,0.6644502613531765
<1 km2,170576,43560.728,10,gfdl-esm4,2041-2060_ssp370,2.049608082,0.26775121161090265,0.25300582581129205,0.22485379620767765,0.19687873053373411,0.23671126923116345,0.5294577742574907,0.08724936667445043,0.5265031583793544,0.037261844047753456,0.5271594233857918,0.503466122356595,0.47664314582447254,0.42215480884425666,0.36875283766745476,0.44180187525742015
<1 km2,170576,43560.728,11,gfdl-esm4,2061-2080_ssp370,2.814161775,0.12508592619622544,0.21477201242283223,0.0,0.0,0.11854086193406826,0.5294577742574907,0.08724936667445043,0.5265031583793544,0.037261844047753456,0.5271594233857918,0.2340004692229897,0.40501517602279274,0.0,0.0,0.2192485762832749
<1 km2,170576,43560.728,12,gfdl-esm4,2081-2100_ssp370,3.532319558,0.04231341167353712,0.14067205661701596,0.0,0.0,0.05048971678640062,0.5294577742574907,0.08724936667445043,0.5265031583793544,0.037261844047753456,0.5271594233857918,0.0760963846582487,0.2535920442213629,0.0,0.0,0.08897237476852596
<1 km2,170576,43560.728,13,gfdl-esm4,2021-2040_ssp585,1.529802668,0.4078543728703722,0.24565538768018108,0.3934148766008648,0.17569707373626015,0.35076771405920393,0.5322847109290558,0.08675324388072492,0.5287204727571745,0.03784672177244813,0.5298463331628586,0.7660076567784154,0.45832155341284975,0.7488704699315485,0.31780187935633275,0.6568180181038559
<1 km2,170576,43560.728,14,gfdl-esm4,2041-2060_ssp585,2.18911609,0.2285674652206112,0.24423844529114042,0.16047107342630368,0.16047107342630368,0.20106314130160388,0.5322847109290558,0.08675324388072492,0.5287204727571745,0.03784672177244813,0.5298463331628586,0.4267180606428236,0.4572941030240194,0.30416108760531496,0.30416108760531496,0.3725796849632495
<1 km2,170576,43560.728,15,gfdl-esm4,2061-2080_ssp585,3.048039704,0.10962445670667458,0.19978482165329034,0.0,0.0,0.1049692789796885,0.5322847109290558,0.08675324388072492,0.5287204727571745,0.03784672177244813,0.5298463331628586,0.20308036923823325,0.3704740044450476,0.0,0.0,0.19246398631980732
<1 km2,170576,43560.728,16,gfdl-esm4,2081-2100_ssp585,4.001455777,0.02328838596212235,0.09656592710822963,0.0,0.0,0.028033458306895333,0.5322847109290558,0.08675324388072492,0.5287204727571745,0.03784672177244813,0.5298463331628586,0.04206471889506033,0.17266085533237624,0.0,0.0,0.05005352735637035
<1 km2,170576,43560.728,17,ipsl-cm6a-lr,1851-1870_hist,-0.131913088,0.7908256208601523,0.1860911890781162,0.8455730913750172,0.09248021260135059,0.7626003970076133,0.530972814595886,0.08599232655625064,0.5272489086934573,0.038951726129217795,0.5274269813023462,1.5202095448547361,0.4264299909782554,1.5639737710454644,0.22510440652363073,1.472367563512454
<1 km2,170576,43560.728,18,ipsl-cm6a-lr,1901-1920_hist,-0.143528775,0.8201921556342463,0.17631435114139526,0.8767568446951415,0.08303744922973788,0.7980870673829867,0.530972814595886,0.08599232655625064,0.5272489086934573,0.038951726129217795,0.5274269813023462,1.5806844338214785,0.43552406337522326,1.6205387493662071,0.21650742409914758,1.5462501866793987
<1 km2,170576,43560.728,19,ipsl-cm6a-lr,1951-1970_hist,0.302892464,0.7427413006180551,0.20460723832680155,0.798275921690228,0.12219319790201288,0.7051813946199317,0.530972814595886,0.08599232655625064,0.5272489086934573,0.038951726129217795,0.5274269813023462,1.4246089692231143,0.4381703304071687,1.4760394249837074,0.25868877051455885,1.3566005979743403
<1 km2,170576,43560.728,20,ipsl-cm6a-lr,1995-2014_hist,0.913312833,0.5870620051824694,0.20933477120472968,0.5992448851460235,0.14462485444702533,0.5292416235034703,0.530972814595886,0.08599232655625064,0.5272489086934573,0.038951726129217795,0.5274269813023462,1.1126386600329343,0.3930199760346337,1.141316177831674,0.26083490150233124,1.0028117496109605
<1 km2,170576,43560.728,21,ipsl-cm6a-lr,2021-2040_ssp126,1.636714967,0.44039575291494554,0.251055856238374,0.43265634005288933,0.1806126667522186,0.38937590192873656,0.530972814595886,0.08599232655625064,0.5272489086934573,0.038951726129217795,0.5274269813023462,0.8316743340176737,0.47516124840541335,0.8169888879733671,0.32546230119669983,0.7350445590253767
<1 km2,170576,43560.728,22,ipsl-cm6a-lr,2041-2060_ssp126,2.049075593,0.3228042220832848,0.2800400064414079,0.27350060393826925,0.21813449126121545,0.29122718619792304,0.530972814595886,0.08599232655625064,0.5272489086934573,0.038951726129217795,0.5274269813023462,0.6059034330347213,0.526229784831839,0.5223510890144714,0.4005935113189164,0.5449600894924826
<1 km2,170576,43560.728,23,ipsl-cm6a-lr,2061-2080_ssp126,2.191208244,0.2191954782071049,0.2638227414567831,0.11463640732218769,0.11463640732218769,0.19616817159564814,0.530972814595886,0.08599232655625064,0.5272489086934573,0.038951726129217795,0.5274269813023462,0.4083406823519678,0.4924195367620183,0.22566652816136346,0.22566652816136346,0.3640705192250517
<1 km2,170576,43560.728,24,ipsl-cm6a-lr,2081-2100_ssp126,2.171220561,0.24260658792378292,0.2638388919291087,0.16310096502936666,0.16310096502936666,0.21499839168846915,0.530972814595886,0.08599232655625064,0.5272489086934573,0.038951726129217795,0.5274269813023462,0.45443284336346196,0.4952467811614721,0.315910913780525,0.315910913780525,0.40108930683181626
<1 km2,170576,43560.728,25,ipsl-cm6a-lr,2021-2040_ssp370,1.678163601,0.44468004100176123,0.26275862114043,0.4392307661319666,0.1940902832210492,0.39500728612056946,0.5291458304255443,0.08770176543473876,0.5278842738614269,0.03986421072244867,0.5260233777336528,0.8441256605919768,0.5065193003210906,0.8198029110174525,0.35071096215037684,0.7480618607531929
<1 km2,170576,43560.728,26,ipsl-cm6a-lr,2041-2060_ssp370,2.594826972,0.18881491707292172,0.25748106967248785,0.0582171081575549,0.0582171081575549,0.1788140292413089,0.5291458304255443,0.08770176543473876,0.5278842738614269,0.03986421072244867,0.5260233777336528,0.3554363873047828,0.4940517587890382,0.10811957597540589,0.10811957597540589,0.3344628330832254
<1 km2,170576,43560.728,27,ipsl-cm6a-lr,2061-2080_ssp370,3.513114684,0.06331018265370106,0.16870021712425115,0.0,0.0,0.06798737493250791,0.5291458304255443,0.08770176543473876,0.5278842738614269,0.03986421072244867,0.5260233777336528,0.11621898601582437,0.31358752555710273,0.0,0.0,0.12320365230021184
<1 km2,170576,43560.728,28,ipsl-cm6a-lr,2081-2100_ssp370,4.677751369,0.025711021677897624,0.11098135846094019,0.0,0.0,0.02861071764231471,0.5291458304255443,0.08770176543473876,0.5278842738614269,0.03986421072244867,0.5260233777336528,0.04731273659344287,0.20998169160343425,0.0,0.0,0.05135836829548482
<1 km2,170576,43560.728,29,ipsl-cm6a-lr,2021-2040_ssp585,1.66491004,0.40916470044773495,0.2632729610996686,0.38915662192962575,0.1924177914979165,0.3510713104967943,0.5289902397934916,0.08688792959517111,0.5280780306714972,0.038360462528271605,0.5265313562932272,0.7724049347517186,0.4971461936950804,0.7390739192348974,0.34953225229024654,0.6590868053881319
<1 km2,170576,43560.728,30,ipsl-cm6a-lr,2041-2060_ssp585,2.84393776,0.15812643636734985,0.25306724107266954,0.0,0.0,0.1501062115152401,0.5289902397934916,0.08688792959517111,0.5280780306714972,0.038360462528271605,0.5265313562932272,0.2942682821972406,0.4745760282948923,0.0,0.0,0.27673736595260573
<1 km2,170576,43560.728,31,ipsl-cm6a-lr,2061-2080_ssp585,4.160098437,0.042764745365247415,0.138066629304285,0.0,0.0,0.04616415020939031,0.5289902397934916,0.08688792959517111,0.5280780306714972,0.038360462528271605,0.5265313562932272,0.0794756422723087,0.26062944795481086,0.0,0.0,0.08416584062898426
<1 km2,170576,43560.728,32,ipsl-cm6a-lr,2081-2100_ssp585,5.849305066,0.011307527083174925,0.07305007592388447,0.0,0.0,0.011278234178273935,0.5289902397934916,0.08688792959517111,0.5280780306714972,0.038360462528271605,0.5265313562932272,0.020592292241736292,0.13446004329855044,0.0,0.0,0.020155282265176648
<1 km2,170576,43560.728,33,mpi-esm1-2-hr,1851-1870_hist,0.083373661,0.7732374604984978,0.1856454715138617,0.8172141570518949,0.10695556386475957,0.7341786389329572,0.5322649753747563,0.08513440461309903,0.5320555121558547,0.03574825249771105,0.5295821478259544,1.4830230723999325,0.42106610049415283,1.5221471212047772,0.22890480292577675,1.4135902091030348
<1 km2,170576,43560.728,34,mpi-esm1-2-hr,1901-1920_hist,0.101656085,0.7543795351076191,0.1851373098745247,0.7995169961189037,0.10753011536698481,0.7157604385375272,0.5322649753747563,0.08513440461309903,0.5320555121558547,0.03574825249771105,0.5295821478259544,1.4442326398976626,0.4045622804133763,1.4812079994588139,0.22608282984211103,1.3740824950763018
<1 km2,170576,43560.728,35,mpi-esm1-2-hr,1951-1970_hist,0.353009146,0.7143009817479504,0.19290889393914187,0.757697766841454,0.11905422709400532,0.6701814252770287,0.5322649753747563,0.08513440461309903,0.5320555121558547,0.03574825249771105,0.5295821478259544,1.362278081982561,0.3917908389868439,1.4009561645530688,0.23375692034572515,1.2782186590873292
<1 km2,170576,43560.728,36,mpi-esm1-2-hr,1995-2014_hist,0.904939372,0.5814980813919292,0.21274544000393134,0.6036225013200994,0.14917772855636519,0.5205652162130405,0.5322649753747563,0.08513440461309903,0.5320555121558547,0.03574825249771105,0.5295821478259544,1.0985097804607573,0.3994448933450164,1.1208063778994508,0.2740555366711219,0.9786340018554269
<1 km2,170576,43560.728,37,mpi-esm1-2-hr,2021-2040_ssp126,1.469113359,0.4570503523305931,0.24000037662238083,0.450270986228409,0.1729262090711009,0.3958391211462128,0.5322649753747563,0.08513440461309903,0.5320555121558547,0.03574825249771105,0.5295821478259544,0.8590852861782393,0.44992242198024235,0.8489992416279926,0.3143127472855415,0.7386039850121351
<1 km2,170576,43560.728,38,mpi-esm1-2-hr,2041-2060_ssp126,1.656830929,0.4179423804965701,0.24736423636602947,0.41199610711271606,0.17344487243579915,0.3610097095257568,0.5322649753747563,0.08513440461309903,0.5320555121558547,0.03574825249771105,0.5295821478259544,0.7849177558701547,0.4651816468152541,0.774506113669732,0.31365690061995577,0.6742831485929631
<1 km2,170576,43560.728,39,mpi-esm1-2-hr,2061-2080_ssp126,1.695689732,0.3866321545147795,0.24732815043766168,0.3659547992955559,0.17844648175044642,0.3295203676267539,0.5322649753747563,0.08513440461309903,0.5320555121558547,0.03574825249771105,0.5295821478259544,0.7250003034096718,0.46254737419226616,0.6934114095765416,0.3224354287498239,0.6140004981850291
<1 km2,170576,43560.728,40,mpi-esm1-2-hr,2081-2100_ssp126,1.659995843,0.3973588137592459,0.2412047404413228,0.38123408874900355,0.17174977385256285,0.34154312017535626,0.5322649753747563,0.08513440461309903,0.5320555121558547,0.03574825249771105,0.5295821478259544,0.7450612735965783,0.4507883238651559,0.7191805526111028,0.3098785573954781,0.6359378650099847
<1 km2,170576,43560.728,41,mpi-esm1-2-hr,2021-2040_ssp370,1.493779364,0.46346551036675987,0.23729649838449787,0.4655626422467753,0.16654534622994024,0.40090669871584095,0.5338511333306986,0.08556315391251218,0.5305394389217983,0.037203430983263536,0.5316720609658082,0.8705647302328763,0.446744167809814,0.8738711754255484,0.3063214769435832,0.7486182135265466
<1 km2,170576,43560.728,42,mpi-esm1-2-hr,2041-2060_ssp370,2.092677072,0.3101055754604589,0.25910297648744324,0.2629884748538821,0.19785265537814917,0.26701461116799297,0.5338511333306986,0.08556315391251218,0.5305394389217983,0.037203430983263536,0.5316720609658082,0.5767411798981311,0.47935066519205094,0.5030309981301633,0.36021015797067635,0.49306151562474776
<1 km2,170576,43560.728,43,mpi-esm1-2-hr,2061-2080_ssp370,2.718960922,0.17933664224319695,0.2395758177837952,0.07162444057913331,0.07162444057913331,0.17177845620665166,0.5338511333306986,0.08556315391251218,0.5305394389217983,0.037203430983263536,0.5316720609658082,0.3322377857535291,0.44542322839954457,0.1363391239052,0.1363391239052,0.3133147969719675
<1 km2,170576,43560.728,44,mpi-esm1-2-hr,2081-2100_ssp370,3.454510652,0.0687311169735258,0.17009682283880675,0.0,0.0,0.0776471012854417,0.5338511333306986,0.08556315391251218,0.5305394389217983,0.037203430983263536,0.5316720609658082,0.12559424923791906,0.3121515241501593,0.0,0.0,0.13870700299372962
<1 km2,170576,43560.728,45,mpi-esm1-2-hr,2021-2040_ssp585,1.528303178,0.44476598458941274,0.24341772969561998,0.45170988187580285,0.17257951187548462,0.38895158514685857,0.5336243132949134,0.08676161462795744,0.5311896247619478,0.036901596989021485,0.5304095416435289,0.8336748498470895,0.45654701936962044,0.8393687307256474,0.3113566772642741,0.7262845555287739
<1 km2,170576,43560.728,46,mpi-esm1-2-hr,2041-2060_ssp585,2.139652727,0.2883965038252717,0.26365917570454933,0.2420758911056083,0.2016741135833608,0.24770332799373962,0.5336243132949134,0.08676161462795744,0.5311896247619478,0.036901596989021485,0.5304095416435289,0.5375287990781733,0.49418312746657966,0.45143636351777705,0.36902869389705806,0.45791456912283285
<1 km2,170576,43560.728,47,mpi-esm1-2-hr,2061-2080_ssp585,2.950347,0.1022809093003595,0.1979213256347706,0.0,0.0,0.10137657896301829,0.5336243132949134,0.08676161462795744,0.5311896247619478,0.036901596989021485,0.5304095416435289,0.18692322455983232,0.36241594559044,0.0,0.0,0.18265374837140022
<1 km2,170576,43560.728,48,mpi-esm1-2-hr,2081-2100_ssp585,3.99079854,0.05460212037296089,0.16930416710382873,0.0,0.0,0.06265806319309748,0.5336243132949134,0.08676161462795744,0.5311896247619478,0.036901596989021485,0.5304095416435289,0.10123754010593294,0.3181626869400268,0.0,0.0,0.11401856952940835
<1 km2,170576,43560.728,49,mri-esm2-0,1851-1870_hist,0.190948213,0.7324755794552582,0.1897882334200469,0.778697012868174,0.10511278514400574,0.6969814381071937,0.5287869051309327,0.08589478476278348,0.52734773735113,0.03728447416919184,0.5279573239404649,1.4105631441088649,0.4119036425276847,1.4442654657275096,0.22762244050832603,1.338555442110822
<1 km2,170576,43560.728,50,mri-esm2-0,1901-1920_hist,0.252478266,0.7373258932020351,0.19357056551572194,0.786448499428896,0.10555347810632604,0.6983331426999932,0.5287869051309327,0.08589478476278348,0.52734773735113,0.03728447416919184,0.5279573239404649,1.418479508722676,0.41405175242762776,1.4653169261001144,0.22906650789090544,1.338816867761763
<1 km2,170576,43560.728,51,mri-esm2-0,1951-1970_hist,0.382652065,0.7384314785572079,0.1856300721916776,0.7816776042756461,0.10351581927255604,0.6998679658588464,0.5287869051309327,0.08589478476278348,0.52734773735113,0.03728447416919184,0.5279573239404649,1.422723138716207,0.4032471656190637,1.4539785790066775,0.22870164677213534,1.3453635160873616
<1 km2,170576,43560.728,52,mri-esm2-0,1995-2014_hist,0.922248887,0.6197455692868362,0.20409100486625556,0.645418379068591,0.1332967111102233,0.5675173161760521,0.5287869051309327,0.08589478476278348,0.52734773735113,0.03728447416919184,0.5279573239404649,1.1831275555936447,0.39766084909274374,1.2125354419087766,0.2551278597657283,1.0758600870142156
