tidewater_class,n_glaciers,rgi_area_km2,experiment,gcm,period_scenario,temp_ch_ipcc,AAR_mean_mean,AAR_mean_std,AAR_mean_median,AAR_mean_MAD,AAR_mean_area_weighted_mean,AAR_steady_mean,AAR_steady_std,AAR_steady_median,AAR_steady_MAD,AAR_steady_area_weighted_mean,disequilibrium_mean,disequilibrium_std,disequilibrium_median,disequilibrium_MAD,disequilibrium_area_weighted_mean
marine-terminating,3244,281471.243,0,era5,2014-2023,1.2,0.48637896625444277,0.1615644657357254,0.5088757846394659,0.04474507735279304,0.5164218542049129,0.7056917959816027,0.09488420932280527,0.7098785775055028,0.009039601664262598,0.7331651828827312,0.682250837687101,0.18264752119611624,0.7248198381200208,0.049021089142989804,0.7044117975942412
marine-terminating,3244,281471.243,1,gfdl-esm4,1851-1870_hist,0.231409328,0.6666498530785051,0.15049683227174798,0.7215000451761082,0.049784648472468385,0.6922355488845536,0.7069665225997356,0.08899969468049712,0.7025277569217172,0.014629426230216125,0.7337288428267008,0.9362535784040139,0.1686368947720652,1.0211896891406156,0.037062723648027596,0.9419955611406743
marine-terminating,3244,281471.243,2,gfdl-esm4,1901-1920_hist,0.478289046,0.5566385164676042,0.1461514095430057,0.5125082980011708,0.0023046162056008512,0.5831962865399013,0.7069665225997356,0.08899969468049712,0.7025277569217172,0.014629426230216125,0.7337288428267008,0.7745139459680819,0.15536369067571307,0.7147807826313277,0.02271258653327113,0.7836836849683534
marine-terminating,3244,281471.243,3,gfdl-esm4,1951-1970_hist,0.392281326,0.6492867186100583,0.15810251579253592,0.7209018564748924,0.03273066737697006,0.6835559318282518,0.7069665225997356,0.08899969468049712,0.7025277569217172,0.014629426230216125,0.7337288428267008,0.9149318060634399,0.1815300976031047,1.0309500338713147,0.010765946710082686,0.935423580717248
marine-terminating,3244,281471.243,4,gfdl-esm4,1995-2014_hist,0.901467077,0.5812136181852641,0.16987074302284103,0.6140295928915287,0.04087789880250492,0.6156118664681935,0.7069665225997356,0.08899969468049712,0.7025277569217172,0.014629426230216125,0.7337288428267008,0.8069502611187477,0.18626130101700092,0.8679711902346253,0.05535018857384849,0.8328264291121822
marine-terminating,3244,281471.243,5,gfdl-esm4,2021-2040_ssp126,1.493792069,0.3803912743268453,0.14569672217805527,0.3434365782497381,0.03144925433585044,0.4366715631381293,0.7069665225997356,0.08899969468049712,0.7025277569217172,0.014629426230216125,0.7337288428267008,0.5359575970714154,0.16698744154223075,0.5055180542051512,0.04084916988565235,0.5943352319717157
marine-terminating,3244,281471.243,6,gfdl-esm4,2041-2060_ssp126,1.678749959,0.4395792469470795,0.1639322457919561,0.4592217065192046,0.03999604292165315,0.49422158908166564,0.7069665225997356,0.08899969468049712,0.7025277569217172,0.014629426230216125,0.7337288428267008,0.6096671143240876,0.191313451116645,0.651688691855941,0.045875194247094464,0.6660723742803996
marine-terminating,3244,281471.243,7,gfdl-esm4,2061-2080_ssp126,1.730055687,0.4282835085000192,0.15000405957262147,0.4873298692777782,0.03311508205428493,0.48840464466707617,0.7069665225997356,0.08899969468049712,0.7025277569217172,0.014629426230216125,0.7337288428267008,0.6003193403682967,0.1889570171371728,0.693680590519474,0.044954335315504246,0.6627852235280048
marine-terminating,3244,281471.243,8,gfdl-esm4,2081-2100_ssp126,1.684476548,0.4428354523257481,0.1491540236237691,0.4937531616418151,0.03795160585148272,0.4875516351973058,0.7069665225997356,0.08899969468049712,0.7025277569217172,0.014629426230216125,0.7337288428267008,0.6154171249887171,0.18712424720108123,0.699083385550627,0.03399218017539113,0.6587569957872693
marine-terminating,3244,281471.243,9,gfdl-esm4,2021-2040_ssp370,1.488564228,0.43709521221891906,0.1567209123573286,0.4595139357775192,0.029682390923721602,0.49365429832924673,0.7048556543494475,0.09460449574425715,0.6948657023838789,0.019185705277618093,0.72939389293972,0.6120464596042132,0.18241038927278472,0.6611842263478703,0.04045523008544871,0.6721740520706484
marine-terminating,3244,281471.243,10,gfdl-esm4,2041-2060_ssp370,2.049608082,0.378221681917225,0.13893571405884095,0.4029185423833361,0.022876030668461944,0.4363417152455657,0.7048556543494475,0.09460449574425715,0.6948657023838789,0.019185705277618093,0.72939389293972,0.5303828856959748,0.1721946921195374,0.5798509568122899,0.02704793376751652,0.594301657028301
