area_class,n_glaciers,rgi_area_km2,vol_2020_m3,experiment,gcm,period_scenario,temp_ch_ipcc,area_steady,volume_steady,mass_remaining
>100 km2,962,387240.951,122859635891299.53,36,mpi-esm1-2-hr,1995-2014_hist,0.904939372,305938.2997768962,96094359435059.97,78.21475193047111
>100 km2,962,387240.951,122859635891299.53,37,mpi-esm1-2-hr,2021-2040_ssp126,1.469113359,249887.32310851404,75924204599696.58,61.79751718202288
>100 km2,962,387240.951,122859635891299.53,38,mpi-esm1-2-hr,2041-2060_ssp126,1.656830929,257702.89755892998,79427506690473.92,64.64898427726716
>100 km2,962,387240.951,122859635891299.53,39,mpi-esm1-2-hr,2061-2080_ssp126,1.695689732,253933.69111004553,77968289790730.34,63.461273692617034
>100 km2,962,387240.951,122859635891299.53,40,mpi-esm1-2-hr,2081-2100_ssp126,1.659995843,231737.58011018822,69988979572591.055,56.96661809621024
>100 km2,962,387240.951,122859635891299.53,41,mpi-esm1-2-hr,2021-2040_ssp370,1.493779364,258756.77281085213,79201605962792.78,64.46511532303958
>100 km2,962,387240.951,122859635891299.53,42,mpi-esm1-2-hr,2041-2060_ssp370,2.092677072,195294.2223917543,57924593660381.12,47.14696835959216
>100 km2,962,387240.951,122859635891299.53,43,mpi-esm1-2-hr,2061-2080_ssp370,2.718960922,171693.45733318603,50528371739949.375,41.12690988654282
>100 km2,962,387240.951,122859635891299.53,44,mpi-esm1-2-hr,2081-2100_ssp370,3.454510652,142567.73487420223,42380543766140.32,34.495091458383165
>100 km2,962,387240.951,122859635891299.53,45,mpi-esm1-2-hr,2021-2040_ssp585,1.528303178,269264.49807488907,82473028546940.88,67.12784711482391
>100 km2,962,387240.951,122859635891299.53,46,mpi-esm1-2-hr,2041-2060_ssp585,2.139652727,234088.3036080938,70949767855022.19,57.74863920140153
>100 km2,962,387240.951,122859635891299.53,47,mpi-esm1-2-hr,2061-2080_ssp585,2.950347,199439.31680781307,59818982865795.33,48.688881772952975
>100 km2,962,387240.951,122859635891299.53,48,mpi-esm1-2-hr,2081-2100_ssp585,3.99079854,139380.92571782446,41112608851386.98,33.463072353365504
>100 km2,962,387240.951,122859635891299.53,49,mri-esm2-0,1851-1870_hist,0.190948213,433020.29502660263,147734966245614.66,120.24695106236815
>100 km2,962,387240.951,122859635891299.53,50,mri-esm2-0,1901-1920_hist,0.252478266,408330.4803206779,136920592098629.11,111.4447321167141
>100 km2,962,387240.951,122859635891299.53,51,mri-esm2-0,1951-1970_hist,0.382652065,406672.5999254308,136635452806790.77,111.21264670495967
>100 km2,962,387240.951,122859635891299.53,52,mri-esm2-0,1995-2014_hist,0.922248887,331722.4688722977,105672851982203.2,86.01104114918394
>100 km2,962,387240.951,122859635891299.53,53,mri-esm2-0,2021-2040_ssp126,1.72632431,209070.0185083218,61327981934575.914,49.91711190552123
