tidewater_class,n_glaciers,rgi_area_km2,vol_2020_m3,experiment,gcm,period_scenario,temp_ch_ipcc,area_steady,volume_steady,mass_remaining
land-terminating,212303,424267.549,65038920372014.0,41,mpi-esm1-2-hr,2021-2040_ssp370,1.493779364,261899.44485147952,39691753402718.59,61.02769414942165
land-terminating,212303,424267.549,65038920372014.0,42,mpi-esm1-2-hr,2041-2060_ssp370,2.092677072,197069.41704401662,31047634088448.918,47.737007181024175
land-terminating,212303,424267.549,65038920372014.0,43,mpi-esm1-2-hr,2061-2080_ssp370,2.718960922,170248.12608542742,28766126718874.492,44.22909629239856
land-terminating,212303,424267.549,65038920372014.0,44,mpi-esm1-2-hr,2081-2100_ssp370,3.454510652,133118.51653768338,24861773472954.62,38.22599349858296
land-terminating,212303,424267.549,65038920372014.0,45,mpi-esm1-2-hr,2021-2040_ssp585,1.528303178,270343.130847262,41433347833807.195,63.70546681404602
land-terminating,212303,424267.549,65038920372014.0,46,mpi-esm1-2-hr,2041-2060_ssp585,2.139652727,208102.929206222,33525671759721.46,51.547091446104986
land-terminating,212303,424267.549,65038920372014.0,47,mpi-esm1-2-hr,2061-2080_ssp585,2.950347,142955.6851615392,26131785402982.64,40.17868878129018
land-terminating,212303,424267.549,65038920372014.0,48,mpi-esm1-2-hr,2081-2100_ssp585,3.99079854,98344.05661808811,19567298337636.684,30.08552144733389
land-terminating,212303,424267.549,65038920372014.0,49,mri-esm2-0,1851-1870_hist,0.190948213,460724.35115880205,73183052728316.98,112.52193657231643
land-terminating,212303,424267.549,65038920372014.0,50,mri-esm2-0,1901-1920_hist,0.252478266,457227.91740102594,72512446659628.56,111.49085231560885
land-terminating,212303,424267.549,65038920372014.0,51,mri-esm2-0,1951-1970_hist,0.382652065,446879.8833972885,69524007691139.11,106.89600518192954
land-terminating,212303,424267.549,65038920372014.0,52,mri-esm2-0,1995-2014_hist,0.922248887,367291.5693348655,55603666967042.125,85.49291201175623
land-terminating,212303,424267.549,65038920372014.0,53,mri-esm2-0,2021-2040_ssp126,1.72632431,219991.13736928484,33629526447010.0,51.70677227520625
land-terminating,212303,424267.549,65038920372014.0,54,mri-esm2-0,2041-2060_ssp126,1.996245332,191964.06526603884,29759338918319.973,45.75620066892331
land-terminating,212303,424267.549,65038920372014.0,55,mri-esm2-0,2061-2080_ssp126,2.09126599,213159.0177195308,33046639084326.25,50.81055911645497
land-terminating,212303,424267.549,65038920372014.0,56,mri-esm2-0,2081-2100_ssp126,1.94778826,231297.63114963964,35185597933167.22,54.09929582457744
land-terminating,212303,424267.549,65038920372014.0,57,mri-esm2-0,2021-2040_ssp370,1.705488886,240731.25165201974,36795688524834.086,56.57487595791508
land-terminating,212303,424267.549,65038920372014.0,58,mri-esm2-0,2041-2060_ssp370,2.404955866,183236.44094816595,28025586787023.79,43.0904858609601
land-terminating,212303,424267.549,65038920372014.0,59,mri-esm2-0,2061-2080_ssp370,3.105613809,126924.44310665663,20238480496687.848,31.11749146653484
land-terminating,212303,424267.549,65038920372014.0,60,mri-esm2-0,2081-2100_ssp370,3.811452497,83062.75450556504,13633486155522.49,20.962042539360674
land-terminating,212303,424267.549,65038920372014.0,61,mri-esm2-0,2021-2040_ssp585,1.911734937,216759.23714583876,32781980475609.254,50.40363568168209
land-terminating,212303,424267.549,65038920372014.0,62,mri-esm2-0,2041-2060_ssp585,2.687007085,127477.94718904552,19899644713556.26,30.59651759243993
land-terminating,212303,424267.549,65038920372014.0,63,mri-esm2-0,2061-2080_ssp585,3.541685939,109885.86278761805,17900290995867.793,27.522429482962668
land-terminating,212303,424267.549,65038920372014.0,64,mri-esm2-0,2081-2100_ssp585,4.594325176,49759.7227042579,8663358999312.722,13.320268771005816
land-terminating,212303,424267.549,65038920372014.0,65,ukesm1-0-ll,1851-1870_hist,0.373094842,458437.2062592795,72284600179270.33,111.1405290337109
land-terminating,212303,424267.549,65038920372014.0,66,ukesm1-0-ll,1901-1920_hist,0.353528895,472441.2631720192,74821405337211.23,115.04097071298649
land-terminating,212303,424267.549,65038920372014.0,67,ukesm1-0-ll,1951-1970_hist,0.23742077,499217.7562278687,78790617268133.86,121.14379638755068
land-terminating,212303,424267.549,65038920372014.0,68,ukesm1-0-ll,1995-2014_hist,1.058767333,357896.6160172212,53609409609550.836,82.42665976451042
land-terminating,212303,424267.549,65038920372014.0,69,ukesm1-0-ll,2021-2040_ssp126,2.176143904,181662.17989540278,26990042716996.07,41.498294502148255
land-terminating,212303,424267.549,65038920372014.0,70,ukesm1-0-ll,2041-2060_ssp126,2.739835015,127169.54867231757,18690670322353.34,28.737670021957907
land-terminating,212303,424267.549,65038920372014.0,71,ukesm1-0-ll,2061-2080_ssp126,2.951472593,107540.36836214442,16672744381673.307,25.63502636007397
land-terminating,212303,424267.549,65038920372014.0,72,ukesm1-0-ll,2081-2100_ssp126,3.038482623,89139.3897037297,13985138348374.43,21.502722167559508
land-terminating,212303,424267.549,65038920372014.0,73,ukesm1-0-ll,2021-2040_ssp370,2.32331738,187456.75672349895,27720637727211.836,42.621614209850755
land-terminating,212303,424267.549,65038920372014.0,74,ukesm1-0-ll,2041-2060_ssp370,3.414120006,83636.16956081777,13244107234274.785,20.363356523325184
land-terminating,212303,424267.549,65038920372014.0,75,ukesm1-0-ll,2061-2080_ssp370,4.439976801,47771.58502184577,7652661587827.244,11.766280165868428
land-terminating,212303,424267.549,65038920372014.0,76,ukesm1-0-ll,2081-2100_ssp370,5.840495128,18497.1955044182,2828886429596.241,4.349528579834022
land-terminating,212303,424267.549,65038920372014.0,77,ukesm1-0-ll,2021-2040_ssp585,2.319732626,174400.89793645818,25714891429008.402,39.53769724639129
land-terminating,212303,424267.549,65038920372014.0,78,ukesm1-0-ll,2041-2060_ssp585,3.646967578,85102.43172864812,13010362927088.05,20.003965091472153
land-terminating,212303,424267.549,65038920372014.0,79,ukesm1-0-ll,2061-2080_ssp585,5.230543689,30473.08607113405,5113086347327.528,7.861579371369255
land-terminating,212303,424267.549,65038920372014.0,80,ukesm1-0-ll,2081-2100_ssp585,6.884361024,8021.417331031221,1065819641099.0176,1.6387412875285607
