tidewater_class,n_glaciers,rgi_area_km2,vol_2020_m3,experiment,gcm,period_scenario,temp_ch_ipcc,area_steady,volume_steady,mass_remaining
marine-terminating,3244,281471.243,87727909003005.61,40,mpi-esm1-2-hr,2081-2100_ssp126,1.659995843,157431.3652210242,45138175396124.55,51.45246924166184
marine-terminating,3244,281471.243,87727909003005.61,41,mpi-esm1-2-hr,2021-2040_ssp370,1.493779364,186397.9812406027,54299860047928.73,61.8957646033355
marine-terminating,3244,281471.243,87727909003005.61,42,mpi-esm1-2-hr,2041-2060_ssp370,2.092677072,129903.38938317742,36694244950363.375,41.82733336218718
marine-terminating,3244,281471.243,87727909003005.61,43,mpi-esm1-2-hr,2061-2080_ssp370,2.718960922,108120.70731857119,30125071211695.2,34.339210353985635
marine-terminating,3244,281471.243,87727909003005.61,44,mpi-esm1-2-hr,2081-2100_ssp370,3.454510652,82798.1038865041,23591822599761.09,26.892037970439738
marine-terminating,3244,281471.243,87727909003005.61,45,mpi-esm1-2-hr,2021-2040_ssp585,1.528303178,195229.08817335707,56830138543176.93,64.7799989638758
marine-terminating,3244,281471.243,87727909003005.61,46,mpi-esm1-2-hr,2041-2060_ssp585,2.139652727,167460.66180400606,48697540430928.14,55.5097471082546
marine-terminating,3244,281471.243,87727909003005.61,47,mpi-esm1-2-hr,2061-2080_ssp585,2.950347,142268.64522518817,40768374647562.13,46.47138534461751
marine-terminating,3244,281471.243,87727909003005.61,48,mpi-esm1-2-hr,2081-2100_ssp585,3.99079854,90191.51167661724,25395640528403.34,28.948188571932416
marine-terminating,3244,281471.243,87727909003005.61,49,mri-esm2-0,1851-1870_hist,0.190948213,331783.87490271695,108390632704776.95,123.55319297655143
marine-terminating,3244,281471.243,87727909003005.61,50,mri-esm2-0,1901-1920_hist,0.252478266,303189.4715888128,96874139391531.14,110.42567923078181
marine-terminating,3244,281471.243,87727909003005.61,51,mri-esm2-0,1951-1970_hist,0.382652065,306239.2203591809,98490858786344.8,112.26855843899169
marine-terminating,3244,281471.243,87727909003005.61,52,mri-esm2-0,1995-2014_hist,0.922248887,242985.5719817053,73807255660904.23,84.13201283342518
marine-terminating,3244,281471.243,87727909003005.61,53,mri-esm2-0,2021-2040_ssp126,1.72632431,144502.42335341717,40122443552249.76,45.73509617204616
marine-terminating,3244,281471.243,87727909003005.61,54,mri-esm2-0,2041-2060_ssp126,1.996245332,160483.82834306615,46992029336426.8,53.56565529769646
marine-terminating,3244,281471.243,87727909003005.61,55,mri-esm2-0,2061-2080_ssp126,2.09126599,144846.9737266468,41767518558531.766,47.610297604495265
marine-terminating,3244,281471.243,87727909003005.61,56,mri-esm2-0,2081-2100_ssp126,1.94778826,161883.03567394768,46656446190439.62,53.18312806115229
marine-terminating,3244,281471.243,87727909003005.61,57,mri-esm2-0,2021-2040_ssp370,1.705488886,181010.21287257818,52302667361674.41,59.61918841572126
marine-terminating,3244,281471.243,87727909003005.61,58,mri-esm2-0,2041-2060_ssp370,2.404955866,124034.54067095708,33650059654825.348,38.35730275261944
