RGIId,calving_k,calving_k_nmad,calving_thick,calving_flux_Gta,fa_gta_obs,fa_gta_obs_unc,fa_gta_max,calving_flux_Gta_bndlow,calving_flux_Gta_bndhigh,no_errors,oggm_dynamics,mb_clim_gta,mb_total_gta,mb_clim_mwea,mb_total_mwea,area_km2,mb_total_gta_obs,mb_clim_gta_obs,mb_total_mwea_obs,mb_clim_mwea_obs,calving_flux_Gta_rnd1,calving_k_rnd1,O1Region
RGI60-09.01035,0.11875,0.032392969,0.082074655,0.002101075,0.003882687,0.002967764,0.003882687,4.12E-07,0.000509854,1,1,0.002276339,-0.001606349,0.427813645,-0.301896153,5.325,-0.001606349,0.002276339,-0.301896153,0.427813645,0.000509854,5,
RGI60-09.01040,0.11875,0.032392969,38.99726485,0.000656289,0.001407456,0.001526026,0.001407456,4.85E-07,0.00021259,1,1,0.001430124,2.27E-05,0.581249389,0.009212929,2.462,2.27E-05,0.001430124,0.009212929,0.581249389,0.00021259,5,
RGI60-09.01041,0.11875,0.032392969,0.085928489,0.001632914,0.004372884,0.002785526,0.004372884,8.34E-07,0.000607338,1,1,0.001876968,-0.002495917,0.299270636,-0.397958196,6.277,-0.002495917,0.001876968,-0.397958196,0.299270636,0.000607338,5,
RGI60-09.01042,0.2875,0.1269625,127.512508,0.003577645,0.003695338,0.00249122,0.003695338,4.11E-07,0.090848127,1,1,0.00098989,-0.002705447,0.135400464,-0.370060059,7.316,-0.002705447,0.00098989,-0.370060059,0.135400464,0.003577645,0.2875,
RGI60-09.01044,0.11875,0.032392969,158.1756259,0.030931589,0.005145677,0.00408854,0.005145677,1.00E-05,0.001086871,1,1,0.000737776,-0.004407901,0.053273484,-0.318286404,13.86,-0.004407901,0.000737776,-0.318286404,0.053273484,0.001086871,5,
RGI60-09.01045,0.11875,0.032392969,0.168751899,0.01594701,0.023116257,0.015738419,0.019679445,9.14E-06,0.008124677,1,1,0.015916607,-0.003762838,0.621815336,-0.147123394,25.597,-0.003762838,0.019353419,-0.147123394,0.756700237,0.008124677,5,
RGI60-09.01046,0.11875,0.032392969,0.502110533,0.066592412,0.023638374,0.016745398,0.023638374,1.42E-05,0.002174146,1,1,0.000116763,-0.023521612,0.007665294,-1.544158403,15.244,-0.023521612,0.000116763,-1.544158403,0.007665294,0.002174146,5,
RGI60-09.01047,0.11875,0.032392969,117.4394204,0.192198418,0.116053069,0.064111682,0.11097208,8.09E-05,0.045147211,1,1,0.058169581,-0.052802499,0.621815336,-0.564895587,93.548,-0.052802499,0.06325057,-0.564895587,0.676671903,0.045147211,5,
RGI60-09.01050,0.11875,0.032392969,126.7206281,0.058545277,0.040491448,0.024015827,0.038439426,2.03E-05,0.009974787,1,1,0.024125813,-0.014313613,0.621815336,-0.369205969,38.799,-0.014313613,0.026177835,-0.369205969,0.675232225,0.009974787,5,
RGI60-09.01053,0.275,0.131,120.8493664,0.001110883,0.00115071,0.000815682,0.00115071,8.05E-08,0.014844214,1,1,0.000620695,-0.000530015,0.290437477,-0.248006339,2.139,-0.000530015,0.000620695,-0.248006339,0.290437477,0.001110883,0.275,
RGI60-09.01056,0.11875,0.032392969,42.04386,0.000781483,0.003790503,0.002632322,0.002492419,9.89E-07,0.000700168,1,1,0.00218195,-0.000310469,0.621815336,-0.088552477,3.509,-0.000310469,0.003480034,-0.088552477,0.992581963,0.000700168,5,
RGI60-09.01058,0.11875,0.032392969,89.7397353,0.020342893,0.02293506,0.015054932,0.02293506,9.65E-06,0.002335599,1,1,0.010394001,-0.012541059,0.285718806,-0.344738894,36.407,-0.012541059,0.010394001,-0.344738894,0.285718806,0.002335599,5,
RGI60-09.01061,0.11875,0.032392969,0.294183445,0.191419642,0.062948767,0.042142982,0.044399873,7.55E-05,0.020344896,1,1,0.030279298,-0.014120575,0.621815336,-0.290219714,48.695,-0.014120575,0.048828192,-0.290219714,1.003564202,0.020344896,5,
RGI60-09.01062,0.0566875,0.0375,270.0354314,0.022420922,0.039522779,0.03033097,0.022914621,2.76E-05,0.026099899,1,1,0.020131272,-0.002783349,0.621815336,-0.086043586,32.375,-0.002783349,0.036739429,-0.086043586,1.135751239,0.022420922,0.0566875,
RGI60-09.01065,0.11875,0.032392969,63.93513218,0.010055437,0.305655392,0.144181747,0.133515132,1.23E-05,0.014678942,1,1,0.02289835,-0.110616783,0.621815336,-0.425163189,36.825,-0.110616783,0.195038609,-0.425163189,0.749644268,0.014678942,5,
RGI60-09.01067,0.11875,0.032392969,0.271924515,0.125318006,0.06624121,0.04732543,0.06624121,3.75E-05,0.038930168,1,1,0.0306441,-0.03559711,0.380179207,-0.441627616,80.673,-0.03559711,0.0306441,-0.441627616,0.380179207,0.038930168,5,
RGI60-09.01068,0.11875,0.032392969,0.11609098,0.046547233,0.082892983,0.036734095,0.056738749,3.97E-05,0.027270271,1,1,0.047523481,-0.009215268,0.621815336,-0.120674458,76.427,-0.009215268,0.073677714,-0.120674458,0.964813839,0.027270271,5,
RGI60-09.01069,0.11875,0.032392969,0.152343242,0.030312875,0.006579478,0.003387224,0.006579478,8.12E-06,0.002356494,1,1,0.002131362,-0.004448116,0.34961915,-0.729649208,6.101,-0.004448116,0.002131362,-0.729649208,0.34961915,0.002356494,5,
