,RGIId,lat,lon,area_2020,n,slope,intercept,r_value,p_value,mad_err,wgms_AAR_mean,wgms_SMB_mean,standard_error,mb_unc,a
573,RGI60-11.00080,47.130001,12.6,854000,6,0.399421085,0.580440154,0.964274498,0.001891669,0.054864392,0.309166667,-0.679166667,0.087846905,,0.532641763
566,RGI60-11.00106,47.099998,12.7,15336382,7,0.375830788,0.844134105,0.967381968,0.000362633,0.044013163,0.395714286,-1.193142857,0.048775083,0.028867513,0.468781303
10460,RGI60-11.00116,47.125,12.34,1819000,9,0.206069158,0.577151492,0.739259341,0.022841534,0.070950214,0.431666667,-0.706,0.043276316,,0.747926103
578,RGI60-11.00190,47.080002,12.38,2564000,7,0.29655432,0.508767382,0.950452619,0.001021832,0.043377731,0.295714286,-0.718428571,0.062330821,,0.581236723
547,RGI60-11.00251,47.053001,12.9472,746900,5,0.46537966,0.566832945,0.978684003,0.003723907,0.05638263,0.41,-0.337,0.096041658,0.025603819,0.723317167
1305,RGI60-11.00289,47.040001,12.97,934100,5,0.453618766,0.557309894,0.981231068,0.003077987,0.051469084,0.264,-0.6466,0.083551182,0.025603819,0.473704132
545,RGI60-11.00300,47.0388,13.0054,235000,8,0.20329957,0.376459484,0.901072614,0.002244383,0.039944654,0.1325,-1.2,0.040687452,0.035355339,0.351963506
10459,RGI60-11.00593,46.977001,10.815,1035000,6,0.373282283,0.56918894,0.918033984,0.0098023,0.080610884,0.293333333,-0.739,0.072482437,,0.515353185
672,RGI60-11.00597,46.948,11.185,5921000,6,0.253915584,0.397478211,0.833470132,0.039289176,0.084169028,0.228666667,-0.664833333,0.050214355,0.028284271,0.575293589
489,RGI60-11.00719,46.88,10.82,6693000,8,0.315800169,0.516641329,0.908246041,0.001800689,0.059396767,0.22875,-0.911625,0.049162915,0.040824829,0.442763649
507,RGI60-11.00787,46.838299,10.7933,3549000,8,0.327989978,0.56316883,0.939078628,0.000539748,0.049007837,0.36125,-0.615625,0.074946596,0.03875,0.641459506
491,RGI60-11.00897,46.799999,10.77,6142000,7,0.27302774,0.590886834,0.97675244,0.000156303,0.026797982,0.304285714,-1.049714286,0.062232518,0.015050934,0.514964452
473,RGI60-11.01238,46.619999,8.4,15173750,10,0.223307094,0.680718087,0.968133705,4.34E-06,0.0204228,0.446,-1.0511,0.054994545,0.2,0.655190465
432,RGI60-11.01367,46.596752,8.601318,143600,7,0.090787726,0.201196268,0.434364494,0.330147925,0.084194925,0.134285714,-0.737,0.023286778,0.10198039,0.667436407
1106,RGI60-11.01930,46.428897,10.114783,233000,8,0.201348896,0.445048189,0.8988395,0.002395668,0.040081235,0.255,-0.943875,0.053209492,,0.57297166
4535,RGI60-11.01962,46.415352,9.8216,178600,5,0.185818297,0.345097626,0.94402318,0.015763972,0.037488669,0.186,-0.8562,0.054596703,0.101118742,0.538977918
4339,RGI60-11.02024,46.407902,9.82405,271500,8,0.341354213,0.510991178,0.972138948,5.29E-05,0.033602285,0.27375,-0.695,0.073056859,0.094809751,0.535723535
3332,RGI60-11.02679,46.058998,7.9178,2128120,8,0.22513243,0.511499779,0.881951745,0.003757102,0.04911924,0.3525,-0.70625,0.05650636,0.141421356,0.689149858
394,RGI60-11.02704,46.049999,7.93,9553120,7,0.288728832,0.567438083,0.767634551,0.043910022,0.107803449,0.441428571,-0.436428571,0.037603114,0.1,0.777932579
395,RGI60-11.02746,46.02,7.93,4890630,8,0.242656183,0.524527253,0.993788209,5.96E-07,0.011093532,0.3375,-0.77075,0.046728939,0.2,0.643436539
3801,RGI60-11.02764,46.009998,7.87,1979380,8,0.331613253,0.57364469,0.982025336,1.43E-05,0.026020675,0.40875,-0.49725,0.039307979,0.081649658,0.712549087
366,RGI60-11.02766,45.98,7.3,15081880,9,0.38566333,0.690105683,0.987921059,6.30E-07,0.022863941,0.336666667,-0.916444444,0.057542255,0.141421356,0.487847985
389,RGI60-11.02773,46,7.87,12552500,9,0.277069268,0.646854436,0.971660745,1.23E-05,0.02547622,0.478888889,-0.606222222,0.04442901,0.1,0.74033486
367,RGI60-11.02774,46,7.38,5280000,8,0.349211485,0.626119269,0.958864157,0.000168696,0.042205415,0.34125,-0.81575,0.063699428,0.2,0.545023955
1314,RGI60-11.03651,45.794102,6.7894,6800000,10,0.017509131,0.416018569,0.711756648,0.020957374,0.006109262,0.39,-1.486,0.009486833,,0.937458155
761,RGI60-12.00161,43.308197,42.469013,3934000,9,0.422321563,0.663195568,0.835832323,0.005007405,0.104842026,0.251666667,-0.974444444,0.039220806,,0.379475797
726,RGI60-12.01132,43.194401,42.7612,2301000,10,0.278568101,0.574283259,0.921106378,0.000153966,0.041626822,0.3687,-0.738,0.048540921,0.003162278,0.64201767
813,RGI60-13.06361,42.139999,78.269997,2502000,9,0.141062802,0.514444444,0.720925575,0.028408909,0.051252389,0.417111111,-0.69,0.017694558,0.003333333,0.810799136
13057,RGI60-13.06653,42.31,78.85,5166262,5,0.404293822,0.648509089,0.893776166,0.040890566,0.117134012,0.352,-0.7334,0.050469793,,0.542783449
781,RGI60-13.06974,41.79,77.75,1110000,10,0.638850387,0.733251365,0.930436477,9.41E-05,0.088958199,0.295,-0.686,0.075501656,,0.402317696
3889,RGI60-13.07064,41.799,78.150597,6382800,9,0.455911525,0.594735397,0.845523921,0.004087509,0.10881684,0.312222222,-0.619666667,0.057365576,,0.524976693
829,RGI60-13.08054,41.814999,78.169998,4832000,7,0.309954554,0.431793643,0.825051507,0.022323547,0.094934622,0.193571429,-0.768571429,0.054162212,0.003779645,0.448296152
817,RGI60-13.08624,43.05,77.08,2228075,10,0.162005561,0.453156095,0.899525758,0.00039432,0.027817704,0.363,-0.5565,0.028602447,0.003162278,0.801048478
10402,RGI60-13.10093,42.792511,76.86676,1431000,8,0.238984258,0.531801687,0.670414528,0.06883824,0.107980768,0.4075,-0.520125,0.05694707,0.035355339,0.766263082
753,RGI60-13.11609,42.459999,74.495003,5444000,9,0.402945011,0.710919651,0.853001959,0.003462354,0.093183806,0.603333333,-0.267,0.061020134,0.016666667,0.848665995
732,RGI60-13.18096,39.619999,71.559998,23930400,10,0.179834934,0.649498064,0.623189335,0.054243169,0.079791244,0.5842,-0.3631,0.046059483,0.108326792,0.899463804
165854,RGI60-13.22154,42.1245,71.0066,548567,6,0.121796302,0.70404138,0.315502003,0.54244977,0.18316135,0.6375,-0.546333333,0.01267927,0.012247449,0.90548655
818,RGI60-13.22155,42.121,70.992,2121660,7,0.174136287,0.617917218,0.804040401,0.029287782,0.057588108,0.537142857,-0.463857143,0.016868554,0.012247449,0.869279641
1512,RGI60-13.45334,43.118,86.804001,552000,9,0.474374191,0.580326548,0.93830248,0.000180772,0.066080573,0.347777778,-0.490222222,0.054269055,0.010715168,0.599279456
1511,RGI60-13.45335,43.111,86.810997,973000,7,0.479349268,0.61196161,0.958353207,0.000664735,0.06388189,0.314285714,-0.621,0.054655027,0.010400157,0.513570965
10499,RGI60-14.14383,33.9785,77.452103,,5,0.298762522,0.696517384,0.749005758,0.145131646,0.152583591,0.58,-0.39,0.0464758,,0.832714321
2921,RGI60-14.15990,32.234901,77.515701,,8,0.099566698,0.553386765,0.737267105,0.036875388,0.037248102,0.51875,-0.347875,0.029708874,0.4,0.937409481
17687,RGI60-14.19607,34.1769,75.3338,10370000,8,0.116454455,0.667776713,0.95649996,0.000199127,0.01450041,0.56125,-0.91475,0.026067071,0.120208153,0.84047555
121010,RGI60-14.19608,34.1791,75.3008,1010000,9,0.211999702,0.755777488,0.819740213,0.006831459,0.055984024,0.549666667,-0.972222222,0.035117791,0.13,0.727286371
3997,RGI60-15.03416,27.92656,86.83137,89000,6,0.31549325,0.412521322,0.853951962,0.030437439,0.096122207,0.201666667,-0.668333333,0.042779581,0.114309521,0.48886362
3996,RGI60-15.03586,27.713005,86.880918,4804000,10,0.445284486,0.657845984,0.96075869,9.89E-06,0.04545295,0.445,-0.478,0.058536314,0.075795778,0.676450128
10401,RGI60-15.03734,27.98108,86.77073,916000,5,0.104744936,0.324650038,0.837519797,0.076675421,0.03945423,0.222,-0.98,0.025830215,0.135,0.683813258
912,RGI60-15.03954,28.236481,85.617851,1610000,10,0.234771694,0.48319745,0.934968403,7.23E-05,0.031492197,0.26,-0.9507,0.04540925,0.120778723,0.53808231
1516,RGI60-15.04847,28.82,83.489998,5759000,6,-0.826490699,0.238045296,-0.430527067,0.394109261,0.866347443,0.471666667,-0.282666667,0.047808453,0.205548048,1.981415617
3987,RGI60-15.11693,29.3861,96.9756,2356917,9,0.120089541,0.366098944,0.552323446,0.123062395,0.068507161,0.209555556,-1.303555556,0.034266966,0.003333333,0.57240142
26615,RGI60-16.00543,-16.274,-68.143898,1804192,8,0.145521434,0.670616991,0.786847613,0.020505426,0.0465961,0.658375,-0.084125,0.029038734,0.003535534,0.981745183
2763,RGI60-16.01383,6.494,-72.309998,,7,0.124324544,0.591441689,0.481885484,0.273502972,0.10109932,0.597142857,0.045857143,0.050253004,0.005,1.009639443
1346,RGI60-17.12369,-41.169998,-71.82,2300000,6,0.140197737,0.414232445,0.96527143,0.001788168,0.018972138,0.268333333,-1.040666667,0.060434384,0.122474487,0.647784443
4532,RGI60-17.14642,-30.1649,-69.809402,980000,6,0.341494385,0.520875018,0.806514107,0.052533441,0.125166162,0.375,-0.427166667,0.067894935,0.204124145,0.71994238
1597,RGI60-18.01130,-44.07,169.43,2030000,10,0.171083762,0.444072618,0.920382683,0.000159551,0.025697627,0.327,-0.6843,0.053535969,0.1003316,0.736366051
1538,RGI60-18.02910,-42.89,171.52,112210,9,0.189398682,0.554729415,0.942795197,0.000139363,0.025312808,0.435555556,-0.629222222,0.048765276,0.066666667,0.785167586
3367,RGI60-19.02056,-62.687801,-60.401501,4034000,8,0.506852387,0.574042067,0.910140595,0.001693917,0.094191523,0.41375,-0.31625,0.086961513,0.026692696,0.720765992
3366,RGI60-19.02059,-62.668999,-60.353901,5358000,6,0.64241858,0.596980779,0.983819737,0.000390583,0.058494691,0.708333333,0.173333333,0.054386307,0.03009245,1.186526196
