,RGIId,lat,lon,AAR_mean,AAR_steady,disequilibrium
370,RGI60-11.02801,45.950001,7.45,0.14500000000000002,0.34606799462023147,0.41899280561648095
371,RGI60-11.02249,46.32,7.23,0.073,0.276742455089114,0.2637831624948663
372,,46.084499,7.3075,0.0,,
389,RGI60-11.02773,46.0,7.87,0.43099999999999994,0.6530950157991458,0.6599346030418193
393,,46.065102,7.9284,,,
394,RGI60-11.02704,46.049999,7.93,0.309,0.5817542549662937,0.5311521099538896
395,RGI60-11.02746,46.02,7.93,0.27199999999999996,0.5132382585696462,0.529968285602952
396,RGI60-11.02245,46.299999,9.7,,,
408,RGI60-11.00804,46.849998,10.08,0.094,0.4586679731762644,0.20494127669096301
417,,46.960526,9.390181,0.06,0.20368202101960092,0.2945768099690351
420,RGI60-11.00892,46.833,8.9887,,,
421,RGI60-11.00918,46.813301,8.9774,,,
432,RGI60-11.01367,46.596752,8.601318,0.094,0.2444314141659909,0.38456595409690486
451,RGI60-11.01509,46.53,8.198,0.19999999999999998,0.623748965866079,0.3206418141668561
454,RGI60-11.02244,46.3283,7.2152,0.055999999999999994,0.14702062085212342,0.38089894924553497
463,RGI60-11.01987,46.419998,8.48,0.082,0.3360314954821906,0.24402474500889737
473,RGI60-11.01238,46.619999,8.4,0.446,0.6824448266994407,0.6535326850626495
476,,47.139999,12.597,,,
480,RGI60-11.00781,46.858051,10.15564,0.065,0.3620426133092807,0.17953687662858822
482,RGI60-11.00807,46.849998,10.13,,,
483,RGI60-11.00797,46.849998,10.1,,,
489,RGI60-11.00719,46.88,10.82,0.183,0.42604581029271726,0.4295312747572116
491,RGI60-11.00897,46.799999,10.77,0.21600000000000003,0.5498605945752746,0.392826840350041
492,RGI60-11.00957,46.779999,10.82,,,
507,RGI60-11.00787,46.838299,10.7933,0.28900000000000003,0.5867265802720569,0.49256333310482503
510,RGI60-11.00929,46.788799,11.0193,,,
535,RGI60-11.00002,47.48,13.62,0.2066666666666667,0.5587787376946622,0.3698542065492785
545,RGI60-11.00300,47.0388,13.0054,0.10600000000000001,0.27899606092200735,0.37993367952830004
547,RGI60-11.00251,47.053,12.9472,0.22777777777777775,0.512833789548102,0.44415516765868834
566,RGI60-11.00106,47.099998,12.7,0.35124999999999995,0.698847071002177,0.5026135396064438
573,RGI60-11.00080,47.13,12.6,0.19219999999999998,0.4773607488448155,0.402630506310191
