RGIId,calving_k,calving_k_nmad,calving_thick,calving_flux_Gta,fa_gta_obs,fa_gta_obs_unc,fa_gta_max,calving_flux_Gta_bndlow,calving_flux_Gta_bndhigh,no_errors,oggm_dynamics,mb_clim_gta,mb_total_gta,mb_clim_mwea,mb_total_mwea,area_km2,mb_total_gta_obs,mb_clim_gta_obs,mb_total_mwea_obs,mb_clim_mwea_obs,calving_flux_Gta_rnd1,calving_k_rnd1,O1Region
RGI60-07.00068,0.30625,0.09561875000000002,148.167035338566,0.0010380812952783046,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0030211116317885936,-0.004059192927066899,-0.10129800267531498,-0.13610491305884184,29.824,0.0,-0.0033325360203720856,-0.11174007579037304,-0.11174007579037304,0.0,0.0,0.0
RGI60-07.00235,0.30625,0.09561875000000002,740.0966710805325,0.17227796986266505,,0.0,0.0,0.0,0.0,1.0,1.0,-0.05518551878714475,-0.2274634886498098,-0.5601112273627746,-2.3086646027425224,98.52600000000001,0.0,-0.07792262205844087,-0.7908838485114676,-0.7908838485114676,0.0,0.0,0.0
RGI60-07.00237,0.30625,0.09561875000000002,668.9501754617322,0.12381637477429142,,0.0,0.0,0.0,0.0,1.0,0.0,-0.05292872161513079,-0.1767450963894222,-0.450223472198525,-1.5034330806085539,117.561,0.0,-0.08059207041143579,-0.6855340666669711,-0.6855340666669711,0.0,0.0,0.0
RGI60-07.00247,0.30625,0.09561875000000002,140.85223316368905,0.0011040866511283888,,0.0,0.0,0.0,0.0,1.0,1.0,-0.005982279706288408,-0.007086366357416797,-0.41708706032827225,-0.49406444658835647,14.343,0.0,-0.006313505701626925,-0.4401802762062975,-0.4401802762062975,0.0,0.0,0.0
RGI60-07.00248,0.30625,0.09561875000000002,91.82615469239464,0.0003673971394313233,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0003533989618162746,-0.0007207961012475979,-0.06057575622493566,-0.12355092582235136,5.834,0.0,-0.0004636181036456716,-0.07946830710416038,-0.07946830710416038,0.0,0.0,0.0
RGI60-07.00263,0.30625,0.09561875000000002,287.45392097793655,0.0403882354406774,,0.0,0.0,0.0,0.0,1.0,0.0,-0.01894024851056666,-0.05932848395124406,-0.3350062527294809,-1.0493744618788414,56.537,0.0,-0.03105671914276988,-0.5493167154742891,-0.5493167154742891,0.0,0.0,0.0
RGI60-07.00264,0.30625,0.09561875000000002,24.258852926763893,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.3558888612862785e-07,1.3558888612862785e-07,0.007532715896034878,0.007532715896034879,0.018000000000000002,0.0,1.3558888612862785e-07,0.007532715896034878,0.007532715896034878,0.0,0.0,0.0
RGI60-07.00279,0.30625,0.09561875000000002,469.4076924494452,0.025955341898224134,,0.0,0.0,0.0,0.0,1.0,1.0,-0.016074449638467905,-0.042029791536692035,-0.6733599882065979,-1.760631347884217,23.872,0.0,-0.019531520995216583,-0.8181769853894346,-0.8181769853894346,0.0,0.0,0.0
RGI60-07.00280,0.30625,0.09561875000000002,668.9501754617324,0.07044591684659676,,0.0,0.0,0.0,0.0,1.0,0.0,-0.02089404782860066,-0.09133996467519742,-1.1131618448908183,-4.866274090314194,18.77,0.0,-0.037950026698860787,-2.021844789497112,-2.021844789497112,0.0,0.0,0.0
RGI60-07.00293,0.30625,0.09561875000000002,409.52592087872563,0.019913464363240586,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0089673319281483,-0.028880796291388885,-0.27414649734479674,-0.8829347689204795,32.71,0.0,-0.012698625222175314,-0.3882184415217155,-0.3882184415217155,0.0,0.0,0.0
