RGIId,calving_k,calving_k_nmad,calving_thick,calving_flux_Gta,fa_gta_obs,fa_gta_obs_unc,fa_gta_max,calving_flux_Gta_bndlow,calving_flux_Gta_bndhigh,no_errors,oggm_dynamics,mb_clim_gta,mb_total_gta,mb_clim_mwea,mb_total_mwea,area_km2,mb_total_gta_obs,mb_clim_gta_obs,mb_total_mwea_obs,mb_clim_mwea_obs,calving_flux_Gta_rnd1,calving_k_rnd1
RGI60-19.01941,0.16250000000000006,0.04388750000000001,327.990301440947,0.0131449492423983,0.013000000000000001,0.006999999999999999,0.013000000000000001,6.702005200106075e-06,0.03987196178230398,1.0,1.0,0.0,0.0,0.0,0.0,27.55,0.0,0.0,0.0,0.0,0.0131449492423983,0.16250000000000006
RGI60-19.01972,0.109375,0.04042499999999999,1071.3802290723477,0.11282371393478252,0.10099999999999999,0.059000000000000004,0.10099999999999999,0.00019671721888781332,0.18536238306804992,1.0,0.0,0.0,0.0,0.0,0.0,41.282,0.0,0.0,0.0,0.0,0.11282371393478252,0.109375
RGI60-19.01973,0.07525000000000001,0.02735000000000001,562.6993834779918,0.09860832472539696,0.096,0.057,0.096,0.0001475166170120326,0.4489308865957055,1.0,1.0,0.0,0.0,0.0,0.0,71.108,0.0,0.0,0.0,0.0,0.09860832472539696,0.07525000000000001
RGI60-19.01982,0.15000000000000002,0.06663749999999999,432.8659799885089,0.11199144358519304,0.107,0.068,0.107,1.447102727619013e-05,0.33171917059798084,1.0,1.0,0.0,0.0,0.0,0.0,55.274,0.0,0.0,0.0,0.0,0.11199144358519304,0.15000000000000002
RGI60-19.01987,0.1125,0.03965625,370.0240384049662,0.025369431099167776,0.026000000000000002,0.013999999999999999,0.026000000000000002,3.2197219454450045e-05,0.05040183367254362,1.0,1.0,0.0,0.0,0.0,0.0,42.32,0.0,0.0,0.0,0.0,0.025369431099167776,0.1125
RGI60-19.01990,0.2125,0.08508749999999997,306.93243862430216,0.10061662476013096,0.10099999999999999,0.061,0.10099999999999999,3.399604986751097e-05,0.14663286564610806,1.0,1.0,0.0,0.0,0.0,0.0,73.483,0.0,0.0,0.0,0.0,0.10061662476013096,0.2125
RGI60-19.01991,0.08143750000000001,0.02758203125000001,483.05277433724564,0.08245220271567441,0.08,0.047,0.08,0.00017296701072995853,0.1323845599346942,1.0,1.0,0.0,0.0,0.0,0.0,114.805,0.0,0.0,0.0,0.0,0.08245220271567441,0.08143750000000001
RGI60-19.02021,0.030390625000000008,0.014332421874999998,516.2379040644558,0.04197450592901717,0.0427,0.0313,0.0427,0.00012171870409487185,0.4717335711786332,1.0,1.0,0.0,0.0,0.0,0.0,78.207,0.0,0.0,0.0,0.0,0.04197450592901717,0.030390625000000008
RGI60-19.02022,0.041218750000000005,0.01887265625000001,303.02012726724615,0.005207788215687093,0.0053,0.0039,0.0053,1.5793183664329445e-05,0.036624333285400816,1.0,1.0,0.0,0.0,0.0,0.0,7.659,0.0,0.0,0.0,0.0,0.005207788215687093,0.041218750000000005
RGI60-19.02023,0.036578125,0.0164787109375,523.1572662900237,0.07123407434719058,0.0698,0.0512,0.0698,0.00015317992706013144,0.4651049793338523,1.0,1.0,0.0,0.0,0.0,0.0,94.089,0.0,0.0,0.0,0.0,0.07123407434719058,0.036578125
