RGIId,fa_gta_obs,fa_gta_obs_unc,Romain_gta_mbtot,Romain_gta_mbclim,Romain_mwea_mbtot,Romain_mwea_mbclim,thick_measured_yn,start_date,end_date,source,area_km2
RGI60-01.03377,0.0690165763624048,0.009529997579975184,-0.8171259461276885,-0.7481093697652837,-1.560473060696383,-1.4286714594066376,,20009999,20199999,Kochtitzky et al.,523.6398927406249
RGI60-01.03622,0.002776586453615103,0.003338755668005245,-0.4652786974240085,-0.4625021109703934,-1.0383625135276695,-1.0321660052736599,,20009999,20199999,Kochtitzky et al.,448.0888816404774
RGI60-01.03890,0.00023358549219389384,0.002943395722800359,-0.3532444181386332,-0.3530108326464393,-1.2816602249367353,-1.2808127176044333,,20009999,20199999,Kochtitzky et al.,196.44251387194439
RGI60-01.04375,0.1271030495529706,0.012969063443690865,-0.9543753530308444,-0.827272303477874,-1.558183673211596,-1.3506658491187076,,20009999,20199999,Kochtitzky et al.,612.4922045061394
RGI60-01.09426,0.0005911668332693838,0.0020631900530995177,-0.017775320798201717,-0.017184153964932336,-0.5814716470008423,-0.5621332195206361,,20009999,20199999,Kochtitzky et al.,30.569540045305036
RGI60-01.09519,0.00027510251316989123,0.0003755155927949705,-0.015511492054472109,-0.01523638954130222,-0.6030792164653718,-0.5923833654468155,,20009999,20199999,Kochtitzky et al.,25.720488504618807
RGI60-01.09639,0.22186710661925554,0.0098047768460812,-0.2298449884769276,-0.007977881857672037,-0.6096366376138018,-0.02116038771704415,,20009999,20199999,Kochtitzky et al.,377.0196446469674
RGI60-01.09757,0.008321926858154412,0.00633348006907446,-0.028375496364249717,-0.02005356950609531,-0.5185784217310222,-0.3664904497546127,,20009999,20199999,Kochtitzky et al.,54.717850136401566
RGI60-01.09783,0.004851470511614706,0.010007841805262879,-0.0400612352966383,-0.035209764785023585,-0.7620770467623195,-0.6697884717203997,,20009999,20199999,Kochtitzky et al.,52.56848433742789
RGI60-01.09798,0.004843241987972554,0.004371206999633334,-0.04302776141079679,-0.038184519422824234,-1.0303823227773772,-0.9144015985724718,,20009999,20199999,Kochtitzky et al.,41.759025227467255
RGI60-01.09810,0.01374268849314737,0.013242423945875959,-0.05445905805233013,-0.040716369559182765,-0.6907637409079598,-0.5164502060587635,,20009999,20199999,Kochtitzky et al.,78.83890660031977
RGI60-01.10188,0.0007895120974512526,0.0007304721099096272,-0.005298561574965457,-0.004509049477514206,-0.3257692755136233,-0.27722802892112475,,20009999,20199999,Kochtitzky et al.,16.264767653768132
